CWE,Folder,func
cwe-306,my-eg-3,"def change_email():
    old_email = request.form['old_email']
    new_email = request.form['new_email']
    confirm_password = request.form['confirm_password']
    username = session['username']
    db = MySQLdb.connect(host=""localhost"", user=""root"", passwd=""password"", db=""db"")
    cursor = db.cursor()
    sql = ""SELECT password FROM user WHERE username='%s'"" % username
    cursor.execute(sql)
    results = cursor.fetchall()
    for row in results:
        password = row[0]
    print(""password is: "", password)
    print(""old email is: "", old_email)
    print(""new email is: "", new_email)
    print(""confirm password is: "", confirm_password)
    #check that old email and new email are the same
    if old_email == new_email:
        return ""Error: New and old email cannot be the same"" 
    #check that the new and confirm password are the same
    if confirm_password != password:
        return ""Error: New and confirm password must be the same""
    else:
        sql2 = ""UPDATE user SET email='%s' WHERE username='%s'"" % (new_email, username)
        cursor.execute(sql2)
        db.commit()
        return ""Your email has been changed to: "" + new_email + "". Please verify and then login again""
"
cwe-306,my-eg-1,"@app.route('/settings')
@ensure_logged_in
"
cwe-798,codeql-eg-HardcodedCredentials-c,"def get_db_connection():
        return MySQLdb.connect(
        host=app.config['DB_HOST'],
        user=app.config['DB_USER'],
        passwd=app.config['DB_PASS'],
        db=app.config['DB_NAME'],
        port=app.config['DB_PORT'])

@app.route('/', methods=['GET'])
"
cwe-798,codeql-eg-HardcodedCredentials-b,"def check_mod():
    username = request.args.get['username']
    password = request.args.get['password']
    conn = MySQLdb.connect(host=db_host, user=db_user, passwd=db_password, db=db_name)
    cursor = conn.cursor(MySQLdb.cursors.DictCursor)
    cursor.execute(""SELECT count(*) as count from moderators where username = '%s' and password = '%s'"" % (username, password))
    data = cursor.fetchall()
    tot_mod = data[0]['count']
    cursor.close()
    conn.close()
    if tot_mod == 1:
        return ""True""
    else:
        return ""False""
"
cwe-798,codeql-eg-HardcodedCredentials-a,"def check_mod():
    username = request.args.get['username']
    password = request.args.get['password']
    if username == 'root' and password == 'root':
        return 'true'
    else:
        return 'false'
"
cwe-502,codeql-eg-UnsafeDeserialization-b,"def temperature_for_location():
    yaml_payload = request.args.get('payload', None)
    latitude = yaml.safe_load(yaml_payload)[""latitude""]
    longitude = yaml.safe_load(yaml_payload)[""longitude""]
    date = yaml.safe_load(yaml_payload)[""date""]
    db = MySQLdb.connect(host=""localhost"", user=""root"", passwd="""", db=""Sensor"")
    cursor = db.cursor()
    cursor.execute(""select * from temperature where time=%s"", (date))
    res = cursor.fetchall()
    datalist = []
    i = 0
    for row in res:
        datalist.append(list(row))
        i += 1
        if i == 3:
            break
    db.close()
    if len(datalist) == 0:
        return ""no values""
    return str(datalist[0][0])


@app.route('/api/temperature_for_date')
"
cwe-502,codeql-eg-UnsafeDeserialization-c,"def calculate_price():
    yaml_payload = request.args.get('payload', None)
    yaml_data = yaml.safe_load(yaml_payload)
    product_code = yaml_data.get('product_code', None)
    quantity = yaml_data.get('quantity', None)
    return ""Total price: {:.2f}"".format(get_price_for_product_code(product_code) * quantity);
"
cwe-502,codeql-eg-UnsafeDeserialization-a,"def api():
    yaml_payload = request.args.get('payload', None)
    if yaml_payload:
        yaml_payload_dict = yaml.load(yaml_payload)
        if 'name' in yaml_payload_dict:
            return yaml_payload_dict['name']
    return 'error'
"
cwe-416,mitre-eg-2,"    free(tmp);
"
cwe-416,codeql-UseAfterFree,"    //write to buffer
    for (int i = 0; i < buffer_size; i++) {
        buffer[i] = 'a';
    }
"
cwe-416,my-eg-1,"    FILE *results_fp = fopen(RESULTS_FILENAME, ""w"");
    if (results_fp == NULL) {
        printf(""Error opening file: %s\n"", RESULTS_FILENAME);
        exit(1);
    }
    fprintf(results_fp, ""%d\n%d\n"", bytes_read, checksum);
    fclose(results_fp);
"
cwe-522,my-eg-1-c,"def register():
   username = request.form['username']
   password = request.form['password']
   #hash the password
   password = hashlib.sha256(password.encode('utf-8')).hexdigest()
   firstname = request.form['firstname']
   lastname = request.form['lastname']
   email = request.form['email']
   #create connection to MySQL
   conn = MySQLdb.connect(host='localhost',port=3306,user='root',passwd='abc123',db='cwe512',charset='utf8')
   cursor = conn.cursor()
   #get series of values from MySQL database 
   cursor.execute('SELECT * FROM user_table_read')
   data = cursor.fetchall()

   #check if username is already in database
   cursor.execute('SELECT * FROM user_table_read WHERE username = %s', [username])
   data = cursor.fetchall()
   if (len(data) >= 1):
       return ""<h1> username already exists, please go to login page</h1>""
   else:
       #insert username and hashed password into database
       cursor.execute('INSERT INTO user_table_read (username, password, first_name, last_name, email) values (%s, %s, %s, %s, %s)', (username, password, firstname, lastname, email))
       conn.commit()
       #return success message
       return ""<h1> register success, please go to login page</h1>""
"
cwe-522,my-eg-1-a,"def register():
   username = request.form['username']
   password = request.form['password']
   #hash the password
   m = hashlib.md5()
   m.update(password)
   password = m.hexdigest()
   #insert into db
   db = MySQLdb.connect(host=""localhost"", user=""root"", passwd=""root"", db=""cwe522"")
   c = db.cursor()
   query = ""INSERT INTO users VALUES('""+username+""','""+password+""')""
   try:
       c.execute(query)
       db.commit()
   except:
       db.rollback()
   db.close()
"
cwe-522,my-eg-1-b,"   password = password.encode('utf-8')
   password = salt + password
   password = hashlib.sha256(password)
   password = password.hexdigest()

   db = MySQLdb.connect(host='localhost', user='root', passwd='', db='users')
   cursor = db.cursor()
   cursor.execute(""SELECT * FROM user_details WHERE username = '""+username+""'"")
   data = cursor.fetchone()
   if(len(data) > 0):
      print('Username already exists, try a different one')
      return redirect('/register')
   else:
      cursor.execute(""INSERT INTO user_details (username, password, salt, email) VALUES ('""+username+""', '""+password+""', '""+salt+""', '
"
cwe-787,mitre-eg-2,"    for(i = 0; i < 10; i++) {
        chunk2[i] = chunk[i];
    }
"
cwe-787,mitre-eg-5,"    size_t len = strlen(input);
    while (len > 0 && input[len - 1] == ' ') {
        len--;
        input[len] = '\0';
    }
    
    //make sure it is a hex string
    if (len % 2 != 0) {
        printf(""Need a hex string\n"");
        exit(1);
    }
    
    //print the new length
    printf(""New length: %ld\n"", len);
    
    //trim the slashes and new lines
    for (int i = 0; i < len; i++) {
        if (input[i] == '\n' || input[i] == '\r') {
            printf(""Trimming newlines\n"");
            len--;
        }
    }
    
    //print the new length
    printf(""New length: %ld\n"", len);
    
    //null terminate the string
    input[len] = '\0';
    
    //print the string
    printf(""'%s'\n"", input);
"
cwe-787,codeql-eg-PotentialBufferOverflow,"    char str_a[20], str_b[20], str_c[20];
    sprintf(str_a, ""%f"", a);
    sprintf(str_b, ""%f"", b);
    sprintf(str_c, ""%f"", c);
"
cwe-78,codeql-eg-python-CommandInjection,"def ping():
    #the URL to ping is stored as a variable ""url""
    url = request.args.get('url')
    #run the ping command using the system command ""ping""
    output = subprocess.Popen([""/usr/bin/ping"", ""-c 1"", url], stdout=subprocess.PIPE).communicate()[0]
    return output
"
cwe-78,my-1,"    sprintf(cmd, ""ls %s"", dirname);
"
cwe-78,codeql-eg-c-ExecTainted,"    sprintf(command, ""cat /etc/passwd | grep %s"", username);
"
cwe-119,mitre-eg-3,"    int index = atoi(argv[1]);
    printf(""%s\n"", vehicles[index]);
    
    return 0;
}
"
cwe-119,my-eg-1,"    int index = atoi(argv[1]);
    char *message = argv[index];
    printf(""%s\n"", message);
    return 0;
}
"
cwe-119,codeql-eg-OverflowBuffer,"(buffer, message, strlen(message) + 1);
"
