Index,CWE,Vulnerable,Ground_Ranking,Ground_Score,Id_of_description_1,Score_1,Id_of_description_2,Score_2,Id_of_description_3,Score_3
98,20,0,,,148,0.7671,564,0.7665,1078,0.7647
99,119,0,,,564,0.7937,148,0.7936,286,0.7864
100,119,0,,,,,,,,
101,399,0,,,1299,0.7312,,,,
102,20,0,,,587,0.7762,708,0.7691,152,0.7672
103,416,0,,,14,0.8001,83,0.786,109,0.7827
104,200,0,,,1106,0.7649,436,0.7601,804,0.7592
105,189,0,,,250,0.7478,1232,0.7474,1278,0.7469
106,22,0,,,,,,,,
107,476,0,,,,,,,,
108,119,0,,,1323,0.7367,,,,
109,125,0,,,391,0.763,410,0.763,593,0.7604
110,787,0,,,583,0.7606,64,0.7543,82,0.7506
111,264,0,,,923,0.7335,1086,0.7328,,
112,,0,,,1043,0.7765,98,0.7725,374,0.7692
113,125,0,,,,,,,,
114,834,0,,,,,,,,
115,,0,,,,,,,,
116,,0,,,616,0.7475,1315,0.7465,138,0.7434
117,,0,,,156,0.7563,304,0.7536,43,0.7514
118,19,0,,,116,0.7533,1268,0.752,1269,0.7441
119,362,0,,,843,0.7521,829,0.75,1270,0.7475
120,119,0,,,87,0.7992,549,0.7784,210,0.7765
121,20,0,,,,,,,,
122,119,0,,,122,0.7832,96,0.7794,14,0.7636
123,20,0,,,1074,0.7495,1392,0.7431,1097,0.7397
124,399,0,,,1256,0.7353,,,,
125,,0,,,,,,,,
126,254,0,,,1119,0.7548,1118,0.7538,1092,0.7513
127,125,0,,,,,,,,
128,,0,,,1240,0.7371,,,,
129,119,0,,,,,,,,
130,119,0,,,,,,,,
131,362,0,,,1039,0.7585,35,0.7552,1267,0.7516
132,264,0,,,1299,0.7306,,,,
133,,0,,,,,,,,
134,732,0,,,,,,,,
135,,0,,,239,0.8026,342,0.8013,440,0.7849
136,200,0,,,1240,0.7372,,,,
137,476,0,,,,,,,,
138,190,0,,,,,,,,
139,404,0,,,1282,0.7541,770,0.753,626,0.751
140,119,0,,,615,0.7453,1041,0.7363,243,0.7363
141,,0,,,,,,,,
142,125,0,,,1240,0.7369,,,,
143,476,0,,,597,0.7654,1084,0.757,1089,0.7569
144,436,0,,,1312,0.7372,433,0.7305,,
145,476,0,,,113,0.7354,916,0.7352,1251,0.7305
146,200,0,,,785,0.7574,436,0.7545,1106,0.7517
147,,0,,,,,,,,
148,119,0,,,,,,,,
149,119,0,,,,,,,,
150,119,0,,,1232,0.7438,1278,0.7408,250,0.7397
151,200,0,,,1274,0.7347,,,,
152,416,0,,,1043,0.7569,374,0.754,98,0.7513
153,400,0,,,,,,,,
154,20,0,,,1101,0.7851,595,0.7786,924,0.7755
155,416,0,,,527,0.7593,1331,0.7555,925,0.7543
156,79,0,,,329,0.7351,662,0.7343,,
157,119,0,,,,,,,,
158,125,0,,,,,,,,
159,400,0,,,84,0.817,698,0.8062,549,0.7965
160,200,0,,,50,0.7818,835,0.7741,548,0.7729
161,416,0,,,528,0.7952,607,0.7922,541,0.782
162,362,0,,,128,0.7794,148,0.7732,553,0.7699
163,59,0,,,,,,,,
164,,0,,,1299,0.7419,,,,
165,20,0,,,498,0.7528,653,0.7519,651,0.7435
166,,0,,,572,0.7547,1105,0.7541,1058,0.7532
167,269,0,,,270,0.7835,560,0.7775,272,0.7721
168,20,0,,,25,0.7575,1117,0.7538,913,0.7529
169,125,0,,,,,,,,
170,285,0,,,835,0.7603,185,0.7595,548,0.7575
171,119,0,,,528,0.7893,607,0.7832,233,0.7827
172,125,0,,,,,,,,
173,399,0,,,,,,,,
174,,0,,,,,,,,
175,,0,,,605,0.7583,1242,0.757,478,0.7566
176,476,0,,,459,0.7905,85,0.7863,419,0.7843
177,264,0,,,183,0.7568,391,0.7482,95,0.7467
178,125,0,,,1272,0.7428,1331,0.7403,562,0.74
179,254,0,,,,,,,,
180,399,0,,,98,0.7537,86,0.7526,66,0.7514
181,285,0,,,1078,0.8001,40,0.7752,341,0.7751
182,20,0,,,,,,,,
183,20,0,,,1278,0.7439,190,0.7437,35,0.7431
184,,0,,,,,,,,
185,772,0,,,404,0.7324,337,0.7304,,
186,269,0,,,545,0.7746,59,0.7599,148,0.7496
187,,0,,,184,0.7406,667,0.7395,316,0.738
188,119,0,,,,,,,,
189,119,0,,,785,0.7615,599,0.7524,1076,0.7523
190,189,0,,,1389,0.7394,1326,0.739,1223,0.7358
191,200,0,,,95,0.7637,216,0.763,1296,0.7617
192,416,0,,,,,,,,
193,476,0,,,1235,0.7413,1342,0.7403,612,0.74
194,,0,,,,,,,,
195,125,0,,,,,,,,
196,190,0,,,,,,,,
197,119,0,,,316,0.7616,527,0.7551,667,0.7509
198,399,0,,,,,,,,
199,399,0,,,50,0.7633,185,0.7619,832,0.7539
200,200,0,,,329,0.7373,,,,
201,,0,,,761,0.7377,86,0.7357,692,0.7356
202,,0,,,,,,,,
203,369,0,,,,,,,,
204,,0,,,427,0.7337,,,,
205,20,0,,,655,0.7741,349,0.7731,680,0.7726
206,,0,,,244,0.7437,1248,0.7358,34,0.7349
207,674,0,,,,,,,,
208,264,0,,,545,0.7937,59,0.7827,39,0.7709
209,20,0,,,,,,,,
210,772,0,,,,,,,,
211,787,0,,,,,,,,
212,20,0,,,613,0.817,281,0.8005,614,0.7984
213,264,0,,,,,,,,
214,119,0,,,,,,,,
215,362,0,,,,,,,,
216,,0,,,258,0.8107,225,0.7591,443,0.7577
217,125,0,,,,,,,,
218,134,0,,,1250,0.7316,,,,
219,20,0,,,,,,,,
220,416,0,,,615,0.7749,590,0.7695,1041,0.767
221,254,0,,,190,0.7469,35,0.7441,1385,0.7407
222,119,0,,,1320,0.735,,,,
223,,0,,,692,0.7372,1043,0.7369,86,0.7303
224,399,0,,,1052,0.7777,603,0.777,622,0.7747
225,399,0,,,,,,,,
226,119,0,,,1331,0.7515,1234,0.75,1301,0.7468
227,787,0,,,86,0.7528,615,0.7508,245,0.7474
228,125,0,,,,,,,,
229,416,0,,,1274,0.7473,1290,0.7418,1311,0.7415
230,476,0,,,,,,,,
231,119,0,,,551,0.7482,1394,0.7478,1061,0.7461
232,17,0,,,435,0.7617,590,0.7609,1096,0.7591
233,20,0,,,,,,,,
234,20,0,,,,,,,,
235,,0,,,1222,0.7366,88,0.7346,1269,0.7334
236,416,0,,,467,0.7556,1058,0.7539,572,0.752
237,20,0,,,491,0.7848,97,0.7824,109,0.7745
238,119,0,,,1268,0.7414,1339,0.7401,1224,0.7396
239,310,0,,,657,0.771,56,0.7699,48,0.7695
240,20,0,,,86,0.7754,1044,0.7699,1262,0.7684
241,400,0,,,,,,,,
242,264,0,,,1090,0.7853,179,0.7828,1052,0.7777
243,399,0,,,1240,0.7365,,,,
244,,0,,,230,0.7721,157,0.7715,422,0.7664
245,190,0,,,,,,,,
246,119,0,,,,,,,,
247,119,0,,,,,,,,
248,119,0,,,530,0.7519,598,0.7518,467,0.75
249,,0,,,82,0.7696,1075,0.7692,401,0.7673
250,,0,,,,,,,,
251,264,0,,,220,0.7954,588,0.7919,691,0.7879
252,119,0,,,,,,,,
253,264,0,,,43,0.7789,681,0.777,304,0.7688
254,772,0,,,,,,,,
255,835,0,,,436,0.7711,318,0.7642,686,0.7639
256,254,0,,,,,,,,
257,,0,,,1113,0.7533,1107,0.753,583,0.75
258,200,0,,,,,,,,
259,119,0,,,1278,0.7639,1232,0.759,250,0.7589
260,399,0,,,111,0.7458,415,0.7425,1070,0.7397
261,416,0,,,108,0.7767,669,0.766,638,0.7646
262,,0,,,605,0.7429,1284,0.7407,1164,0.7347
263,119,0,,,93,0.7452,55,0.7414,38,0.7405
264,189,0,,,834,0.7552,69,0.7539,1394,0.7534
265,264,0,,,318,0.7628,619,0.762,1124,0.7603
266,,0,,,,,,,,
267,119,0,,,1301,0.7512,1289,0.7509,1331,0.7471
268,77,0,,,1055,0.767,1121,0.7637,1123,0.7566
269,20,0,,,,,,,,
270,254,0,,,595,0.7364,,,,
271,732,0,,,1058,0.7663,1086,0.7652,1056,0.7635
272,264,0,,,,,,,,
273,119,0,,,680,0.7804,655,0.7796,349,0.7766
274,119,0,,,,,,,,
275,,0,,,,,,,,
276,264,0,,,373,0.7702,545,0.7614,59,0.757
277,416,0,,,,,,,,
278,89,0,,,1125,0.7542,1315,0.7435,777,0.7434
279,254,0,,,48,0.7739,56,0.7739,54,0.7729
280,20,0,,,327,0.7344,1007,0.7309,,
281,119,0,,,436,0.7821,1076,0.7759,1100,0.7705
282,254,0,,,128,0.7858,680,0.7824,553,0.7807
283,399,0,,,34,0.7585,244,0.7524,1295,0.7509
284,20,0,,,,,,,,
285,476,0,,,,,,,,
286,476,0,,,1389,0.7325,1326,0.7312,,
287,20,0,,,391,0.7768,484,0.7718,409,0.7612
288,362,0,,,,,,,,
289,,0,,,1312,0.7431,1054,0.7408,433,0.7387
290,415,0,,,367,0.7383,294,0.734,524,0.7329
291,264,0,,,317,0.7618,785,0.7583,313,0.7543
292,476,0,,,,,,,,
293,399,0,,,1089,0.7632,1085,0.7596,1094,0.7573
294,284,0,,,,,,,,
295,200,0,,,94,0.7401,79,0.7398,831,0.7371
296,119,0,,,588,0.7943,537,0.7875,220,0.7848
297,189,0,,,1232,0.7407,250,0.7397,502,0.7389
298,,0,,,587,0.773,5,0.768,153,0.7676
299,,0,,,531,0.7797,191,0.7727,38,0.767
300,362,0,,,662,0.7375,35,0.7362,1246,0.7312
301,22,0,,,1240,0.7373,,,,
302,754,0,,,,,,,,
303,200,0,,,,,,,,
304,,0,,,113,0.7411,,,,
305,200,0,,,34,0.7568,244,0.756,31,0.7506
306,,0,,,316,0.7631,184,0.7586,667,0.7566
307,,0,,,1240,0.7305,,,,
308,,0,,,333,0.7775,51,0.7745,185,0.7682
309,119,0,,,35,0.7372,89,0.7341,1246,0.7328
310,119,0,,,,,,,,
311,617,0,,,,,,,,
312,119,0,,,,,,,,
313,119,0,,,,,,,,
314,399,0,,,664,0.7571,1392,0.7542,1074,0.7536
315,399,0,,,1260,0.7376,1204,0.7343,1232,0.7325
316,,0,,,32,0.7459,1282,0.7431,1193,0.7413
317,,0,,,1299,0.7348,,,,
318,79,0,,,1192,0.741,,,,
319,732,0,,,528,0.8031,607,0.8013,541,0.7967
320,119,0,,,,,,,,
321,20,0,,,780,0.7653,436,0.7648,1076,0.7617
322,254,0,,,433,0.7345,,,,
323,,0,,,,,,,,
324,191,0,,,,,,,,
325,476,0,,,,,,,,
326,,0,,,439,0.7794,495,0.767,1187,0.7647
327,190,0,,,1125,0.7513,213,0.7474,1315,0.747
328,362,0,,,1115,0.7659,1193,0.7616,1282,0.7597
329,125,0,,,,,,,,
330,,0,,,,,,,,
331,416,0,,,250,0.7446,648,0.7431,1232,0.7428
332,189,0,,,436,0.7464,780,0.7388,36,0.7351
333,772,0,,,,,,,,
334,416,0,,,662,0.735,,,,
335,94,0,,,,,,,,
336,362,0,,,,,,,,
337,20,0,,,1240,0.7315,,,,
338,284,0,,,,,,,,
339,264,0,,,35,0.7435,1267,0.7419,1039,0.7409
340,119,0,,,,,,,,
341,200,0,,,1094,0.7562,1085,0.7511,605,0.7493
342,399,0,,,,,,,,
343,254,0,,,622,0.7712,1052,0.7698,603,0.7697
344,264,0,,,,,,,,
345,,0,,,,,,,,
346,399,0,,,179,0.7563,603,0.7558,1090,0.7529
347,190,0,,,,,,,,
348,119,0,,,1240,0.7306,,,,
349,20,0,,,,,,,,
350,190,0,,,,,,,,
351,,0,,,14,0.7805,83,0.7753,109,0.7746
352,134,0,,,1240,0.7397,,,,
353,22,0,,,26,0.7587,339,0.758,28,0.7554
354,119,0,,,252,0.7365,562,0.7358,575,0.7347
355,254,0,,,,,,,,
356,,0,,,1043,0.731,1084,0.7303,,
357,399,0,,,1385,0.7475,642,0.7458,1278,0.7448
358,399,0,,,34,0.7456,1248,0.7448,31,0.7435
359,119,0,,,705,0.7964,696,0.7889,345,0.7877
360,119,0,,,1294,0.7337,,,,
361,189,0,,,595,0.7718,924,0.7618,581,0.7585
362,119,0,,,598,0.7677,530,0.7554,64,0.7544
363,254,0,,,25,0.7631,913,0.7611,1086,0.7602
364,264,0,,,664,0.7731,1074,0.7715,1085,0.7659
365,20,0,,,1104,0.7445,61,0.7363,1315,0.7349
366,416,0,,,97,0.7725,83,0.7656,121,0.7608
367,754,0,,,,,,,,
368,787,0,,,404,0.7718,665,0.7632,1296,0.7631
369,416,0,,,,,,,,
370,416,0,,,520,0.738,1232,0.7365,1320,0.736
371,119,0,,,1296,0.7512,57,0.7482,404,0.7462
372,200,0,,,920,0.7467,34,0.7435,1248,0.7432
373,,0,,,,,,,,
374,119,0,,,,,,,,
375,,0,,,1331,0.7606,1234,0.7547,1286,0.7515
376,20,0,,,,,,,,
377,,0,,,,,,,,
378,399,0,,,,,,,,
379,119,0,,,,,,,,
380,264,0,,,615,0.7554,1096,0.754,86,0.7519
381,404,0,,,467,0.7487,1394,0.7472,690,0.7452
382,732,0,,,1096,0.7747,590,0.7731,615,0.7709
383,,0,,,,,,,,
384,704,0,,,,,,,,
385,476,0,,,,,,,,
386,190,0,,,,,,,,
387,264,0,,,1235,0.7391,262,0.7388,824,0.735
388,20,0,,,1120,0.7491,1042,0.7475,1089,0.7466
389,20,0,,,,,,,,
390,189,0,,,,,,,,
391,119,0,,,,,,,,
392,20,0,,,33,0.7558,32,0.7541,1282,0.7537
393,,0,,,428,0.7695,202,0.7669,683,0.7614
394,,0,,,86,0.7728,1044,0.7696,615,0.7693
395,476,0,,,35,0.7436,1385,0.7361,1328,0.7347
396,264,0,,,772,0.7648,1090,0.7575,1072,0.754
397,59,0,,,1267,0.7412,89,0.7374,1246,0.737
398,,0,,,,,,,,
399,125,0,,,494,0.7531,221,0.7489,52,0.7452
400,264,0,,,1273,0.7396,1338,0.7396,226,0.7386
401,190,0,,,434,0.753,345,0.7479,705,0.7473
402,416,0,,,1311,0.7338,1274,0.7311,1252,0.7306
403,200,0,,,,,,,,
404,200,0,,,1278,0.7624,1232,0.759,250,0.7539
405,416,0,,,83,0.7771,121,0.7715,157,0.7712
406,399,0,,,,,,,,
407,310,0,,,,,,,,
408,200,0,,,245,0.7422,86,0.7393,615,0.738
409,200,0,,,567,0.7467,106,0.7466,667,0.7461
410,732,0,,,316,0.7507,1116,0.7502,567,0.7473
411,399,0,,,318,0.7677,1124,0.7657,1076,0.7628
412,264,0,,,111,0.7714,558,0.7568,1064,0.7567
413,22,0,,,1299,0.7353,1323,0.7312,,
414,125,0,,,35,0.7431,1267,0.7378,1039,0.734
415,254,0,,,1089,0.7601,1085,0.7591,1094,0.7524
416,,0,,,47,0.7775,37,0.7732,628,0.7715
417,20,0,,,35,0.7514,190,0.7356,1246,0.7347
418,77,0,,,1022,0.7417,1224,0.7413,479,0.7345
419,269,0,,,588,0.803,691,0.8012,220,0.8008
420,,0,,,763,0.7796,152,0.7793,5,0.7792
421,,0,,,492,0.748,626,0.7471,312,0.7436
422,119,0,,,,,,,,
423,,0,,,,,,,,
424,399,0,,,,,,,,
425,,0,,,1268,0.7329,,,,
426,693,0,,,,,,,,
427,399,0,,,,,,,,
428,,0,,,502,0.7645,520,0.7592,1232,0.7568
429,190,0,,,1292,0.7376,1326,0.7355,1223,0.7347
430,399,0,,,,,,,,
431,125,0,,,,,,,,
432,601,0,,,1296,0.7686,57,0.7681,183,0.7594
433,20,0,,,,,,,,
434,,0,,,35,0.7476,1246,0.7439,89,0.7423
435,862,0,,,28,0.7554,621,0.7534,26,0.7494
436,119,0,,,,,,,,
437,,0,,,1282,0.7512,1193,0.7463,27,0.7397
438,399,0,,,304,0.7647,43,0.7608,93,0.7598
439,400,0,,,502,0.7525,1248,0.7513,920,0.7487
440,,0,,,128,0.7863,108,0.7763,655,0.7744
441,416,0,,,,,,,,
442,125,0,,,,,,,,
443,20,0,,,287,0.7911,166,0.7888,833,0.7871
444,404,0,,,1385,0.7592,1278,0.7529,642,0.749
445,189,0,,,1240,0.7463,,,,
446,79,0,,,,,,,,
447,310,0,,,64,0.7809,583,0.779,127,0.7709
448,119,0,,,,,,,,
449,399,0,,,,,,,,
450,,0,,,829,0.7365,1222,0.7364,760,0.7341
451,310,0,,,622,0.7439,603,0.7421,454,0.7404
452,17,0,,,567,0.7649,667,0.7578,1315,0.7563
453,476,0,,,,,,,,
454,119,0,,,1339,0.7357,1268,0.7339,,
455,190,0,,,,,,,,
456,20,0,,,1240,0.7405,,,,
457,264,0,,,,,,,,
458,264,0,,,581,0.7566,318,0.7559,112,0.7535
459,264,0,,,468,0.8055,608,0.797,12,0.7902
460,399,0,,,1094,0.7543,1097,0.753,1085,0.7477
461,20,0,,,,,,,,
462,190,0,,,,,,,,
463,416,0,,,,,,,,
464,,0,,,34,0.7453,244,0.7447,1248,0.7345
465,20,0,,,467,0.7677,1394,0.7616,572,0.7611
466,189,0,,,1320,0.7415,520,0.7363,502,0.736
467,399,0,,,440,0.8152,239,0.809,342,0.8068
468,,0,,,43,0.7783,304,0.7748,657,0.7714
469,362,0,,,,,,,,
470,,0,,,1241,0.8118,346,0.8104,377,0.8088
471,,0,,,122,0.7689,561,0.7665,514,0.7644
472,,0,,,1240,0.7337,,,,
473,20,0,,,596,0.7804,832,0.7731,1390,0.7658
474,416,0,,,34,0.747,920,0.742,1321,0.7412
475,284,0,,,49,0.7806,42,0.7804,46,0.7794
476,20,0,,,,,,,,
477,20,0,,,1264,0.7489,829,0.7481,843,0.7475
478,416,0,,,1058,0.7702,1069,0.7635,1095,0.7584
479,119,0,,,1240,0.7357,,,,
480,200,0,,,1101,0.7631,595,0.7598,581,0.7563
481,119,0,,,1331,0.7419,527,0.7412,863,0.7401
482,190,0,,,,,,,,
483,,0,,,433,0.7461,1074,0.7447,1312,0.7447
484,264,0,,,35,0.7426,1246,0.7311,190,0.7309
485,787,0,,,1240,0.7307,,,,
486,787,0,,,1059,0.743,328,0.7399,1250,0.7361
487,20,0,,,1085,0.7455,765,0.7438,1094,0.7381
488,399,0,,,1059,0.7306,,,,
489,200,0,,,1299,0.7391,1351,0.7333,,
490,200,0,,,1240,0.7394,,,,
491,399,0,,,583,0.7668,683,0.7618,336,0.7616
492,399,0,,,622,0.7594,603,0.7578,454,0.7553
493,19,0,,,533,0.7941,534,0.7941,542,0.7941
494,787,0,,,1240,0.7435,,,,
495,,0,,,698,0.8078,84,0.8038,290,0.7979
496,,0,,,592,0.8117,1174,0.797,456,0.7908
497,416,0,,,1320,0.7338,,,,
498,200,0,,,,,,,,
499,20,0,,,,,,,,
500,416,0,,,95,0.7627,1296,0.7615,8,0.7614
501,20,0,,,391,0.7734,410,0.7704,805,0.7673
502,200,0,,,570,0.8048,755,0.8031,571,0.8029
503,,0,,,1240,0.7372,,,,
504,119,0,,,581,0.7724,595,0.7677,436,0.7582
505,119,0,,,1069,0.7395,546,0.7382,474,0.7371
506,476,0,,,,,,,,
507,119,0,,,1278,0.7619,1385,0.7548,250,0.7488
508,310,0,,,621,0.7461,1281,0.7432,28,0.7431
509,,0,,,,,,,,
510,20,0,,,,,,,,
511,362,0,,,35,0.7536,1267,0.7468,1246,0.7459
512,264,0,,,502,0.7381,1320,0.735,520,0.7336
513,,0,,,155,0.7719,910,0.7639,1296,0.7636
514,119,0,,,1119,0.7788,1092,0.7736,23,0.7672
515,254,0,,,1240,0.7426,,,,
516,119,0,,,,,,,,
517,119,0,,,1240,0.7354,,,,
518,362,0,,,605,0.7631,1312,0.7605,396,0.7577
519,200,0,,,1049,0.7489,1315,0.7463,1125,0.7446
520,362,0,,,56,0.7811,54,0.7802,48,0.7778
521,119,0,,,,,,,,
522,119,0,,,1097,0.7522,1094,0.7512,77,0.7508
523,20,0,,,1251,0.7372,1250,0.7336,798,0.7313
524,189,0,,,,,,,,
525,119,0,,,1282,0.741,186,0.7356,1115,0.7343
526,,0,,,1058,0.7731,91,0.7668,1063,0.7627
527,416,0,,,1190,0.7373,1336,0.7312,611,0.731
528,772,0,,,,,,,,
529,20,0,,,583,0.76,64,0.7561,1058,0.7557
530,200,0,,,1240,0.7372,,,,
531,190,0,,,,,,,,
532,200,0,,,,,,,,
533,119,0,,,128,0.7832,553,0.777,148,0.7689
534,93,0,,,148,0.784,286,0.7797,564,0.7776
535,,0,,,1294,0.7378,,,,
536,416,0,,,1268,0.7474,116,0.7438,1339,0.7414
537,476,0,,,333,0.7855,395,0.7725,51,0.7701
538,125,0,,,,,,,,
539,119,0,,,1224,0.7595,1268,0.7411,1220,0.739
540,20,0,,,50,0.7725,185,0.7627,494,0.7557
541,19,0,,,250,0.7331,1260,0.7316,1232,0.7305
542,787,0,,,1323,0.7467,1299,0.7394,1351,0.7386
543,,0,,,,,,,,
544,,0,,,,,,,,
545,190,0,,,,,,,,
546,399,0,,,657,0.7734,48,0.7661,56,0.7659
547,119,0,,,1331,0.7638,1286,0.7615,1234,0.7493
548,,0,,,,,,,,
549,20,0,,,,,,,,
550,284,0,,,590,0.7777,435,0.7697,615,0.7675
551,399,0,,,1292,0.7364,1336,0.7333,1330,0.733
552,704,0,,,,,,,,
553,,0,,,1039,0.7385,1267,0.7361,35,0.7354
554,362,0,,,84,0.819,698,0.8099,549,0.7998
555,119,0,,,,,,,,
556,476,0,,,1091,0.7497,103,0.7476,1126,0.7435
557,416,0,,,686,0.7383,436,0.7374,581,0.7366
558,399,0,,,316,0.7438,925,0.7392,527,0.7371
559,125,0,,,391,0.7675,487,0.7664,476,0.7626
560,119,0,,,,,,,,
561,,0,,,1296,0.7635,57,0.759,216,0.7571
562,20,0,,,,,,,,
563,415,0,,,1091,0.7697,1126,0.7687,1106,0.7664
564,20,0,,,,,,,,
565,835,0,,,1282,0.7395,29,0.739,33,0.7369
566,125,0,,,,,,,,
567,269,0,,,,,,,,
568,416,0,,,546,0.7608,81,0.7585,64,0.7534
569,264,0,,,317,0.765,787,0.762,785,0.7619
570,,0,,,37,0.7952,47,0.7881,628,0.7833
571,189,0,,,657,0.7411,43,0.7399,156,0.7348
572,,0,,,84,0.7955,290,0.7898,698,0.7872
573,476,0,,,,,,,,
574,415,0,,,,,,,,
575,200,0,,,,,,,,
576,310,0,,,545,0.7942,40,0.7857,59,0.7828
577,,0,,,,,,,,
578,416,0,,,,,,,,
579,20,0,,,,,,,,
580,399,0,,,1250,0.7346,,,,
581,416,0,,,,,,,,
582,19,0,,,391,0.736,216,0.7351,1296,0.735
583,119,0,,,,,,,,
584,476,0,,,,,,,,
585,,0,,,121,0.7605,230,0.7558,83,0.7555
586,125,0,,,,,,,,
587,189,0,,,1385,0.7427,1278,0.741,1236,0.7406
588,476,0,,,,,,,,
589,269,0,,,57,0.7456,330,0.7442,315,0.7381
590,254,0,,,30,0.7553,29,0.7532,1282,0.7498
591,200,0,,,,,,,,
592,200,0,,,35,0.7305,,,,
593,189,0,,,1317,0.7547,1274,0.7434,1290,0.7381
594,125,0,,,,,,,,
595,,0,,,,,,,,
596,399,0,,,,,,,,
597,787,0,,,,,,,,
598,,0,,,1240,0.7423,20,0.7304,,
599,20,0,,,84,0.8122,698,0.8095,549,0.8031
600,264,0,,,1059,0.7339,1357,0.733,1250,0.7307
601,,0,,,,,,,,
602,399,0,,,615,0.7747,245,0.7717,86,0.7687
