Index,CWE,Vulnerable,relation-with-Top-3,#relevant-top-3,relations,similar-id-1,similar-id-2,similar-id-3,similar-id-4,similar-id-5,similar-id-6,similar-id-7,similar-id-8,similar-id-9,similar-id-10
98,20,0,No,0,,148,564,1078,685,349,303,286,545,40,373
99,119,0,Yes,1,128 CanPrecede 119,564,148,286,685,545,128,553,680,40,59
100,119,0,No,0,,1330,1292,,,,,,,,
101,399,0,No,0,,1299,,,,,,,,,
102,20,0,No,0,,587,708,152,153,5,108,159,97,14,83
103,416,0,No,0,,14,83,109,117,151,129,431,491,122,311
104,200,0,Yes,1,215 ChildOf 200,1106,436,804,1076,780,1068,318,1100,599,215
105,189,0,No,0,,250,1232,1278,1385,1260,1283,1320,1236,642,209
107,476,0,No,0,,,,,,,,,,,
108,119,0,No,0,,1323,1299,1351,,,,,,,
109,125,0,Yes,1,125 and 805 are siblings,391,410,593,53,369,773,1062,805,90,52
110,787,0,No,0,,583,64,82,1075,91,481,127,1069,428,401
111,264,0,No,0,,923,1086,1056,1058,590,1122,403,432,1117,
113,125,0,No,0,,,,,,,,,,,
114,834,0,No,0,,,,,,,,,,,
118,19,0,No,0,,116,1268,1269,1339,1220,1224,1300,760,416,88
119,362,0,No,0,,843,829,1270,759,1222,329,1264,823,943,472
120,119,0,No,0,,87,549,210,592,84,290,698,277,456,496
121,20,0,No,0,,,,,,,,,,,
122,119,0,No,0,,122,96,14,157,421,234,83,121,47,109
123,20,0,No,0,,1074,1392,1097,1094,664,1263,1085,605,1046,1164
124,399,0,No,0,,1256,1323,1351,1299,,,,,,
126,254,0,No,0,,1119,1118,1092,23,1093,146,141,653,684,330
127,125,0,No,0,,1240,,,,,,,,,
129,119,0,No,0,,,,,,,,,,,
130,119,0,No,0,,1330,,,,,,,,,
131,362,0,Yes,1,662 CanPrecede 362,1039,35,1267,1246,1385,190,1236,1278,89,662
132,264,0,No,0,,1299,1240,,,,,,,,
134,732,0,No,0,,1164,1392,1074,664,,,,,,
136,200,0,No,0,,1240,,,,,,,,,
137,476,0,No,0,,1240,,,,,,,,,
138,190,0,No,0,,829,1270,843,1222,823,1239,329,,,
139,404,0,No,0,,1282,770,626,30,29,33,312,1115,1253,32
140,119,0,No,0,,615,1041,243,1080,405,749,435,590,383,256
142,125,0,No,0,,1240,,,,,,,,,
143,476,0,Yes,1,476 and 1120 are siblings,597,1084,1089,524,98,761,762,1120,1085,1094
144,436,0,No,0,,1312,433,605,1064,1054,111,360,1073,1284,
145,476,0,No,0,,113,916,1251,1329,364,362,798,,,
146,200,0,No,0,,785,436,1106,599,780,795,11,6,1076,261
148,119,0,No,0,,,,,,,,,,,
149,119,0,No,0,,,,,,,,,,,
150,119,0,Yes,1,1260 CanPrecede 119,1232,1278,250,1283,1385,1260,1236,209,642,35
151,200,0,Yes,1,497 ChildOf 200,1274,1252,1311,1259,1290,1322,1317,497,,
152,416,0,No,0,,1043,374,98,66,692,1262,86,368,1044,245
153,400,0,No,0,,,,,,,,,,,
154,20,0,No,0,,1101,595,924,566,318,619,436,1106,1124,1082
155,416,0,No,0,,527,1331,925,316,863,609,1234,1298,754,1286
156,79,0,No,0,,329,662,1233,207,1270,,,,,
157,119,0,No,0,,,,,,,,,,,
158,125,0,No,0,,,,,,,,,,,
159,400,0,No,0,,84,698,549,290,277,408,85,135,288,459
160,200,0,No,0,,50,835,548,185,56,657,54,48,832,494
161,416,0,No,0,,528,607,541,233,118,278,439,613,281,687
162,362,0,No,0,,128,148,553,108,655,680,564,349,545,40
163,59,0,No,0,,427,,,,,,,,,
165,20,0,No,0,,498,653,651,842,460,23,161,163,165,1119
167,269,0,Yes,2,"270 ChildOf 269, 274 ChildOf 269",270,560,272,334,402,610,274,224,386,675
168,20,0,No,0,,25,1117,913,615,590,435,1058,1096,915,1122
169,125,0,No,0,,1329,,,,,,,,,
170,285,0,No,0,,835,185,548,50,494,56,48,54,596,657
171,119,0,Yes,1,119 ChildOf 118,528,607,233,278,541,439,118,687,222,706
172,125,0,No,0,,,,,,,,,,,
173,399,0,No,0,,,,,,,,,,,
176,476,0,No,0,,459,85,419,175,424,266,282,84,698,533
177,264,0,No,0,,183,391,95,216,1296,187,623,1112,382,788
178,125,0,No,0,,1272,1331,562,252,575,807,1234,527,925,242
179,254,0,No,0,,,,,,,,,,,
180,399,0,No,0,,98,86,66,761,374,1043,692,245,762,1262
181,285,0,No,0,,1078,40,341,613,39,1324,469,373,447,229
182,20,0,No,0,,,,,,,,,,,
183,20,0,No,0,,1278,190,35,1236,188,1385,1283,1245,1328,642
185,772,0,Yes,1,772 ChildOf 404,404,337,330,315,580,695,1118,1123,57,665
186,269,0,Yes,1,268 ChildOf 269,545,59,148,268,564,1078,543,40,39,613
188,119,0,No,0,,,,,,,,,,,
189,119,0,Yes,1,787 ChildOf 119,785,599,1076,317,1106,1124,787,313,436,147
190,189,0,No,0,,1389,1326,1223,319,828,1297,942,,,
191,200,0,Yes,1,200 and 8 are siblings,95,216,1296,183,314,187,477,8,487,1087
192,416,0,No,0,,,,,,,,,,,
193,476,0,No,0,,1235,1342,612,764,312,1243,626,647,343,824
195,125,0,No,0,,,,,,,,,,,
196,190,0,No,0,,1022,1311,1224,,,,,,,
197,119,0,No,0,,316,527,667,184,579,1234,925,917,1116,62
198,399,0,No,0,,329,1270,,,,,,,,
199,399,0,No,0,,50,185,832,548,494,835,48,596,198,56
200,200,0,No,0,,329,829,,,,,,,,
203,369,0,No,0,,1064,1054,,,,,,,,
205,20,0,No,0,,655,349,680,128,108,148,553,217,40,564
207,674,0,No,0,,,,,,,,,,,
208,264,0,No,0,,545,59,39,40,148,268,248,564,286,229
209,20,0,No,0,,,,,,,,,,,
210,772,0,No,0,,,,,,,,,,,
211,787,0,No,0,,,,,,,,,,,
212,20,0,No,0,,613,281,614,40,39,510,104,366,538,607
213,264,0,No,0,,,,,,,,,,,
214,119,0,No,0,,,,,,,,,,,
215,362,0,No,0,,,,,,,,,,,
217,125,0,No,0,,,,,,,,,,,
218,134,0,No,0,,1250,328,798,,,,,,,
219,20,0,No,0,,,,,,,,,,,
220,416,0,No,0,,615,590,1041,243,435,1080,1096,405,1056,915
221,254,0,No,0,,190,35,1385,1236,1278,250,642,188,1232,1246
222,119,0,No,0,,1320,502,578,520,,,,,,
224,399,0,No,0,,1052,603,622,454,1090,1072,1095,179,772,91
225,399,0,No,0,,1330,,,,,,,,,
226,119,0,No,0,,1331,1234,1301,837,1289,130,1286,527,666,562
227,787,0,No,0,,86,615,245,1262,590,1050,1043,256,1044,692
228,125,0,No,0,,,,,,,,,,,
229,416,0,No,0,,1274,1290,1311,1317,1252,497,1259,1224,1022,74
230,476,0,No,0,,1268,116,1339,,,,,,,
231,119,0,No,0,,551,1394,1061,1105,1122,598,511,1058,1107,489
232,17,0,No,0,,435,590,1096,615,915,1080,1056,243,25,652
233,20,0,No,0,,,,,,,,,,,
234,20,0,No,0,,837,1331,1048,822,1301,,,,,
236,416,0,No,0,,467,1058,572,1105,598,1394,1061,690,834,1057
237,20,0,No,0,,491,97,109,14,482,311,794,789,83,122
238,119,0,Yes,1,1339 CanPrecede 119,1268,1339,1224,1220,591,116,416,1300,200,1269
239,310,0,No,0,,657,56,48,54,198,550,500,783,273,596
240,20,0,No,0,,86,1044,1262,615,692,66,299,245,1050,656
241,400,0,No,0,,581,595,,,,,,,,
242,264,0,No,0,,1090,179,1052,1091,603,772,1103,1126,454,622
243,399,0,No,0,,1240,,,,,,,,,
245,190,0,No,0,,,,,,,,,,,
246,119,0,No,0,,1240,,,,,,,,,
247,119,0,No,0,,1240,,,,,,,,,
248,119,0,No,0,,530,598,467,1057,551,64,1107,1105,583,1394
251,264,0,No,0,,220,588,691,537,468,302,12,167,790,710
252,119,0,Yes,1,20 CanPrecede 119,20,,,,,,,,,
253,264,0,No,0,,43,681,304,657,156,56,42,926,49,54
254,772,0,No,0,,,,,,,,,,,
255,835,0,No,0,,436,318,686,581,595,112,1124,1076,780,786
256,254,0,No,0,,1074,,,,,,,,,
258,200,0,No,0,,,,,,,,,,,
259,119,0,Yes,2,"1260 CanPrecede 119, 190 CanPrecede 119",1278,1232,250,1385,1236,35,1283,1245,1260,190
260,399,0,No,0,,111,415,1070,558,1071,457,621,1312,616,1073
261,416,0,No,0,,108,669,638,348,71,587,688,148,564,482
263,119,0,No,0,,93,55,38,42,49,44,663,45,46,797
264,189,0,No,0,,834,69,1394,1105,572,467,1058,1107,775,551
265,264,0,No,0,,318,619,1124,6,92,112,436,1076,686,786
267,119,0,No,0,,1301,1289,1331,837,338,1234,1286,601,1391,1282
268,77,0,No,0,,1055,1121,1123,653,315,909,144,143,330,142
269,20,0,No,0,,,,,,,,,,,
270,254,0,No,0,,595,436,1101,1051,92,581,,,,
271,732,0,No,0,,1058,1086,1056,923,615,1096,403,432,356,590
272,264,0,No,0,,,,,,,,,,,
273,119,0,Yes,1,128 CanPrecede 119,680,655,349,217,564,128,148,1078,553,108
274,119,0,No,0,,1385,1232,,,,,,,,
276,264,0,No,0,,373,545,59,268,1078,543,40,613,148,564
277,416,0,No,0,,,,,,,,,,,
278,89,0,No,0,,1125,1315,777,138,213,61,1104,567,1393,616
279,254,0,No,0,,48,56,54,657,198,500,273,93,783,43
280,20,0,No,0,,327,1007,1341,1250,1291,1059,1357,927,,
281,119,0,No,0,,436,1076,1100,36,1068,1106,780,11,147,318
282,254,0,No,0,,128,680,553,349,655,148,564,108,217,40
283,399,0,No,0,,34,244,1295,31,1243,353,920,1248,263,1342
284,20,0,No,0,,,,,,,,,,,
285,476,0,No,0,,1299,,,,,,,,,
286,476,0,No,0,,1389,1326,1223,319,828,,,,,
287,20,0,No,0,,391,484,409,326,487,425,410,314,477,476
288,362,0,No,0,,1244,,,,,,,,,
290,415,0,No,0,,367,294,524,761,1084,1094,692,1089,1108,1085
291,264,0,No,0,,317,785,313,1126,599,627,540,1076,154,1091
292,476,0,No,0,,1292,611,1336,1330,1223,,,,,
293,399,0,No,0,,1089,1085,1094,1120,1042,765,1084,779,597,77
294,284,0,No,0,,,,,,,,,,,
295,200,0,Yes,1,1273 ChildOf 200,94,79,831,226,1221,1273,830,297,1191,1318
296,119,0,No,0,,588,537,220,691,522,302,468,710,523,608
297,189,0,No,0,,1232,250,502,1320,488,400,1209,520,34,1260
300,362,0,Yes,1,662 CanPrecede 362,662,35,1246,329,1039,89,350,759,843,1264
301,22,0,No,0,,1240,,,,,,,,,
302,754,0,No,0,,,,,,,,,,,
303,200,0,No,0,,1304,,,,,,,,,
305,200,0,Yes,1,1295 ChildOf 200,34,244,31,353,1321,1295,1342,920,641,612
309,119,0,Yes,1,843 CanPrecede 119,35,89,1246,662,1267,1039,1233,843,1264,207
311,617,0,No,0,,,,,,,,,,,
312,119,0,No,0,,,,,,,,,,,
313,119,0,No,0,,,,,,,,,,,
314,399,0,No,0,,664,1392,1074,1094,1046,1263,478,617,77,605
315,399,0,No,0,,1260,1204,1232,1320,250,1385,1283,488,1278,642
318,79,0,No,0,,1192,1224,1339,591,1268,1220,,,,
319,732,0,Yes,2,"278 ChildOf 732, 281 ChildOf 732",528,607,541,118,233,40,222,278,687,281
320,119,0,No,0,,,,,,,,,,,
321,20,0,No,0,,780,436,1076,1100,1068,11,36,318,581,1106
322,254,0,No,0,,433,605,1242,463,664,1164,,,,
324,191,0,No,0,,,,,,,,,,,
325,476,0,No,0,,,,,,,,,,,
327,190,0,No,0,,1125,213,1315,61,1049,777,567,1047,62,138
328,362,0,No,0,,1115,1193,1282,33,32,912,186,365,27,757
329,125,0,No,0,,,,,,,,,,,
331,416,0,No,0,,250,648,1232,1278,502,1260,1283,1385,488,1236
332,189,0,No,0,,436,780,36,11,581,1100,1076,1068,1106,595
333,772,0,No,0,,,,,,,,,,,
334,416,0,No,0,,662,35,1264,89,759,1246,1267,441,207,329
335,94,0,No,0,,329,,,,,,,,,
336,362,0,No,0,,,,,,,,,,,
337,20,0,No,0,,1240,,,,,,,,,
338,284,0,No,0,,1244,22,297,1273,,,,,,
339,264,0,No,0,,35,1267,1039,1246,662,89,1077,1236,1328,190
340,119,0,No,0,,,,,,,,,,,
341,200,0,No,0,,1094,1085,605,77,664,1089,1074,779,1084,765
342,399,0,No,0,,,,,,,,,,,
343,254,0,No,0,,622,1052,603,454,1058,462,1090,1127,1069,1072
344,264,0,No,0,,362,1250,1251,,,,,,,
346,399,0,No,0,,179,603,1090,772,622,1091,1072,454,785,436
347,190,0,No,0,,,,,,,,,,,
348,119,0,No,0,,1240,,,,,,,,,
349,20,0,No,0,,,,,,,,,,,
350,190,0,No,0,,,,,,,,,,,
352,134,0,No,0,,1240,20,,,,,,,,
353,22,0,No,0,,26,339,28,621,1071,415,352,1281,636,1393
354,119,0,No,0,,252,562,575,1331,527,379,1234,316,1298,667
355,254,0,No,0,,,,,,,,,,,
357,399,0,No,0,,1385,642,1278,1236,190,1232,1283,209,250,35
358,399,0,No,0,,34,1248,31,263,244,1265,920,1321,1295,1243
359,119,0,Yes,1,193 CanPrecede 119,705,696,345,434,115,791,287,193,272,270
360,119,0,No,0,,1294,,,,,,,,,
361,189,0,No,0,,595,924,581,566,92,436,318,1051,1101,619
362,119,0,No,0,,598,530,64,1057,690,428,467,551,583,683
363,254,0,No,0,,25,913,1086,1096,590,435,615,915,506,1060
364,264,0,No,0,,664,1074,1085,1094,1046,1392,1089,617,77,1284
365,20,0,Yes,1,20 and 138 are siblings,1104,61,1315,616,1319,1109,1125,1275,138,567
366,416,0,No,0,,97,83,121,117,491,789,482,311,794,384
367,754,0,No,0,,,,,,,,,,,
368,787,0,No,0,,404,665,1296,315,330,1123,337,1055,216,1023
369,416,0,No,0,,1329,,,,,,,,,
370,416,0,No,0,,520,1232,1320,34,539,1385,1209,1260,488,502
371,119,0,No,0,,1296,57,404,1123,216,315,455,1079,1055,922
372,200,0,Yes,1,1295 ChildOf 200,920,34,1248,1295,263,244,577,520,1247,1321
374,119,0,No,0,,,,,,,,,,,
376,20,0,No,0,,1077,662,,,,,,,,
378,399,0,No,0,,1299,,,,,,,,,
379,119,0,No,0,,,,,,,,,,,
380,264,0,No,0,,615,1096,86,749,1080,1044,915,1262,435,25
381,404,0,No,0,,467,1394,690,834,64,69,1105,551,1058,775
382,732,0,No,0,,1096,590,615,435,1058,25,915,652,1041,1080
384,704,0,No,0,,,,,,,,,,,
385,476,0,No,0,,,,,,,,,,,
386,190,0,No,0,,1256,,,,,,,,,
387,264,0,No,0,,1235,262,824,312,492,612,1342,31,244,1310
388,20,0,No,0,,1120,1042,1089,1094,1085,597,1084,765,524,77
389,20,0,No,0,,,,,,,,,,,
390,189,0,No,0,,1250,1007,,,,,,,,
391,119,0,No,0,,760,1269,1268,329,88,1303,1300,,,
392,20,0,Yes,2,"20 CanPrecede 770, 20 ChildOf 707",33,32,1282,29,30,770,552,312,707,626
395,476,0,No,0,,35,1385,1328,190,1267,1039,1278,188,1236,1246
396,264,0,No,0,,772,1090,1072,179,1052,785,622,603,1025,1095
397,59,0,No,0,,1267,89,1246,35,1039,1077,207,662,190,829
399,125,0,No,0,,494,221,52,585,593,1098,333,832,391,596
400,264,0,No,0,,1273,1338,226,79,831,94,297,838,22,1221
401,190,0,No,0,,434,345,705,696,115,1111,791,344,228,466
402,416,0,No,0,,1311,1274,1252,1317,1302,1224,1290,1022,,
403,200,0,No,0,,1240,,,,,,,,,
404,200,0,Yes,2,"200 and 642 are siblings, 209 ChildOf 200",1278,1232,250,1283,1236,1385,642,35,190,209
405,416,0,No,0,,83,121,157,230,122,14,96,689,1038,422
406,399,0,No,0,,1274,,,,,,,,,
407,310,0,No,0,,1240,,,,,,,,,
408,200,0,No,0,,245,86,615,590,243,368,1044,1262,749,1096
409,200,0,Yes,1,213 ChildOf 200,567,106,667,1004,1104,1125,1049,917,213,61
410,732,0,No,0,,316,1116,567,667,527,917,1125,106,579,184
411,399,0,No,0,,318,1124,1076,436,686,215,595,6,581,786
412,264,0,No,0,,111,558,1064,1281,457,1070,1054,1312,621,415
413,22,0,No,0,,1299,1323,1256,1351,1240,,,,,
414,125,0,No,0,,35,1267,1039,1246,89,1077,662,329,1264,
415,254,0,No,0,,1089,1085,1094,1074,1287,765,1084,77,1097,779
417,20,0,No,0,,35,190,1246,1236,1385,1267,1328,1039,1278,89
418,77,0,No,0,,1022,1224,479,1316,1220,116,1268,1314,1311,1302
419,269,0,No,0,,588,691,220,167,468,710,302,522,537,174
422,119,0,No,0,,,,,,,,,,,
424,399,0,No,0,,,,,,,,,,,
426,693,0,No,0,,1351,,,,,,,,,
427,399,0,No,0,,,,,,,,,,,
429,190,0,No,0,,1292,1326,1223,319,1389,611,1330,1336,828,1297
430,399,0,No,0,,,,,,,,,,,
431,125,0,No,0,,1329,,,,,,,,,
432,601,0,No,0,,1296,57,183,216,1079,315,404,455,95,922
433,20,0,Yes,1,Same weakness,1240,20,,,,,,,,
435,862,0,No,0,,28,621,26,1083,1176,80,1281,426,1047,1393
438,399,0,No,0,,304,43,93,156,56,681,797,48,657,54
439,400,0,Yes,1,920 ChildOf 400,502,1248,920,1320,1295,1321,520,244,539,1209
441,416,0,No,0,,1326,1223,1389,,,,,,,
442,125,0,No,0,,,,,,,,,,,
443,20,0,No,0,,287,166,833,344,584,378,193,131,1111,220
444,404,0,No,0,,1385,1278,642,1232,250,1236,1245,35,1283,190
445,189,0,No,0,,1240,20,,,,,,,,
446,79,0,No,0,,,,,,,,,,,
447,310,0,No,0,,64,583,127,428,91,81,1075,683,82,1258
448,119,0,No,0,,,,,,,,,,,
449,399,0,No,0,,1240,,,,,,,,,
451,310,0,No,0,,622,603,454,1052,1127,1095,1090,1069,1103,462
452,17,0,No,0,,567,667,1315,1049,917,316,527,138,1125,61
453,476,0,No,0,,,,,,,,,,,
454,119,0,Yes,1,1339 CanPrecede 119,1339,1268,116,1224,416,,,,,
455,190,0,No,0,,1267,1077,,,,,,,,
456,20,0,No,0,,1240,,,,,,,,,
457,264,0,No,0,,,,,,,,,,,
458,264,0,No,0,,581,318,112,686,595,436,1280,1124,215,821
459,264,0,No,0,,468,608,12,232,132,331,218,423,525,247
460,399,0,No,0,,1094,1097,1085,77,1120,1074,664,1089,1066,1325
461,20,0,No,0,,,,,,,,,,,
462,190,0,No,0,,1243,1235,1342,244,,,,,,
463,416,0,No,0,,,,,,,,,,,
465,20,0,No,0,,467,1394,572,1058,834,551,1105,202,64,775
466,189,0,No,0,,1320,520,502,539,488,244,31,836,1321,1260
467,399,0,No,0,,440,239,342,276,377,346,140,1241,231,554
469,362,0,No,0,,,,,,,,,,,
473,20,0,No,0,,596,832,1390,437,56,54,48,657,42,185
474,416,0,No,0,,34,920,1321,1248,1247,244,1209,31,263,577
475,284,0,No,0,,49,42,46,38,55,93,44,45,663,1053
476,20,0,No,0,,,,,,,,,,,
477,20,0,No,0,,1264,829,843,1233,759,662,329,472,1222,207
478,416,0,No,0,,1058,1069,1095,91,1052,602,1072,1045,82,1063
479,119,0,No,0,,1240,,,,,,,,,
480,200,0,No,0,,1101,595,581,566,924,318,619,1051,1124,1106
481,119,0,No,0,,1331,527,863,316,925,609,667,1272,807,1234
482,190,0,No,0,,1302,1022,1290,1274,1224,,,,,
484,264,0,No,0,,35,1246,190,1385,1267,1039,1278,250,,
485,787,0,No,0,,1240,20,,,,,,,,
486,787,0,No,0,,1059,328,1250,1251,1332,1007,798,362,359,
487,20,0,Yes,1,1287 ChildOf 20,1085,765,1094,1042,1089,77,1084,1074,597,1287
488,399,0,No,0,,1059,327,,,,,,,,
489,200,0,No,0,,1299,1351,1323,20,,,,,,
490,200,0,No,0,,1240,20,,,,,,,,
491,399,0,No,0,,583,683,336,428,202,1075,64,530,598,1107
492,399,0,No,0,,622,603,454,1052,1072,179,1090,1045,785,772
493,19,0,No,0,,533,534,542,466,240,453,424,459,450,420
494,787,0,No,0,,1240,20,,,,,,,,
497,416,0,No,0,,1320,1260,520,1385,1209,539,,,,
498,200,0,No,0,,1240,20,,,,,,,,
499,20,0,No,0,,1232,1204,1278,250,1385,,,,,
500,416,0,No,0,,95,1296,8,910,487,391,155,314,477,216
501,20,0,No,0,,391,410,805,593,1062,181,484,253,333,476
502,200,0,No,0,,570,755,571,176,323,554,225,443,516,140
504,119,0,No,0,,581,595,436,1101,619,924,92,318,1118,6
505,119,0,No,0,,1069,546,474,1072,471,1052,1095,1067,1045,82
506,476,0,No,0,,,,,,,,,,,
507,119,0,Yes,1,190 CanPrecede 119,1278,1385,250,1236,1232,642,190,1283,188,35
508,310,0,No,0,,621,1281,28,26,616,1083,426,246,119,778
510,20,0,No,0,,,,,,,,,,,
511,362,0,No,0,,35,1267,1246,1039,1236,190,1278,1328,1385,188
512,264,0,No,0,,502,1320,520,250,578,1209,1321,1260,400,488
514,119,0,No,0,,1119,1092,23,1118,146,653,1093,619,141,914
515,254,0,No,0,,1240,,,,,,,,,
516,119,0,No,0,,,,,,,,,,,
517,119,0,Yes,1,20 CanPrecede 119,1240,20,,,,,,,,
518,362,0,No,0,,605,1312,396,433,1276,1284,1064,1054,1242,360
519,200,0,No,0,,1049,1315,1125,567,667,827,61,106,316,777
520,362,0,No,0,,56,54,48,783,657,500,49,43,42,50
521,119,0,No,0,,,,,,,,,,,
522,119,0,No,0,,1097,1094,77,779,1085,664,1392,605,1242,1284
523,20,0,No,0,,1251,1250,798,362,328,1007,359,,,
524,189,0,No,0,,,,,,,,,,,
525,119,0,No,0,,1282,186,1115,912,1230,1189,512,1391,30,27
527,416,0,No,0,,1190,1336,611,1389,1330,1059,1292,,,
528,772,0,No,0,,,,,,,,,,,
529,20,0,No,0,,583,64,1058,1075,91,428,481,202,82,81
530,200,0,No,0,,1240,20,,,,,,,,
531,190,0,No,0,,1240,,,,,,,,,
532,200,0,No,0,,1351,,,,,,,,,
533,119,0,Yes,1,128 CanPrecede 119,128,553,148,655,564,108,40,680,286,349
534,93,0,No,0,,148,286,564,685,545,655,40,59,613,303
536,416,0,Yes,1,Same weakness,1268,116,1339,1220,1224,416,1300,591,760,1269
537,476,0,Yes,2,"476 and 391 are siblings, 476 and 657 are siblings",333,395,51,832,596,185,494,793,391,657
538,125,0,No,0,,113,,,,,,,,,
539,119,0,Yes,1,1339 CanPrecede 119,1224,1268,1220,1339,1316,591,116,1314,479,1231
540,20,0,No,0,,50,185,494,657,548,835,51,48,56,596
541,19,0,No,0,,250,1260,1232,1320,1278,1385,1283,,,
542,787,0,No,0,,1323,1299,1351,1256,,,,,,
545,190,0,No,0,,,,,,,,,,,
546,399,0,No,0,,657,48,56,54,500,198,156,273,783,42
547,119,0,No,0,,1331,1286,1234,1301,65,527,1289,837,666,807
549,20,0,No,0,,1256,,,,,,,,,
550,284,0,No,0,,590,435,615,1096,1056,243,1086,915,25,1122
551,399,0,No,0,,1292,1336,1330,611,1389,,,,,
552,704,0,No,0,,,,,,,,,,,
554,362,0,No,0,,84,698,549,290,277,408,85,135,459,321
555,119,0,No,0,,,,,,,,,,,
556,476,0,Yes,1,476 and 1126 are siblings,1091,103,1126,599,603,785,1088,486,627,540
