Cwe,Folder,Palm_Description,Id_of_description_1,Description_from_cwe_website_1,Score_1,Id_of_description_2,Description_from_cwe_website_2,Score_2,Id_of_description_3,Description_from_cwe_website_3,Score_3,Id_of_description_4,Description_from_cwe_website_4,Score_4,Id_of_description_5,Description_from_cwe_website_5,Score_5,Ground_Ranking,Ground_Score,Ground_ID,Ground_Desc
cwe-22,codeql-eg-Python-TaintedPath,"The `img()` function is a Flask route that returns an image from the `images` folder. The function first checks if the `file_name` parameter contains the `../` pattern. If it does, the function returns the string ""Bad Image name"". Otherwise, the function checks if the `file_path` exists. If it does, the function redirects the user to the file path. Otherwise, the function returns the string ""Image not found!"".",59,"The product attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link or shortcut that resolves to an unintended resource.",0.3110,248,"An exception is thrown from a function, but it is not caught.",0.2982,379,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.,0.2937,66,"The product does not handle or incorrectly handles a file name that identifies a virtual resource that is not directly specified within the directory that is associated with the file name, causing the product to perform file-based operations on a resource that is not a file.",0.2844,134,"The product uses a function that accepts a format string as an argument, but the format string originates from an external source.",0.2700,10,0.2543,22,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory."
cwe-22,codeql-eg-C-TaintedPath,"The `main()` function is the entry point of the program. It is responsible for initializing the program, reading the requested file from the safe directory, and printing the file data.

The `main()` function first checks if the requested file name contains the sequence `..`. If it does, the function prints an error message and exits. Otherwise, the function concatenates the restricted safe directory and the requested file name to create a new file name. The function then opens the file and reads its data. Finally, the function prints the data to the console.",1109,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",0.4764,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4648,1084,A function or method contains too many operations that utilize a data manager or file resource.,0.4617,1058,The code contains a function or method that operates in a multi-threaded environment but owns an unsafe non-final static storable or member data element.,0.4611,910,The product uses or accesses a file descriptor after it has been closed.,0.4491,63,0.2808,22,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory."
cwe-78,codeql-eg-c-ExecTainted,"The `main` function is the entry point of the program. It is responsible for initializing the program and then calling the appropriate functions to perform the desired tasks. In this case, the `main` function gets the username from the command line and then uses the `system` function to run the `ls - l` command on the user's home directory.",1109,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",0.3790,214,"A process is invoked with sensitive command-line arguments, environment variables, or other elements that can be seen by other processes on the operating system.",0.3751,1107,"The source code uses symbolic constants, but it does not sufficiently place the definitions of these constants into a more centralized or isolated location.",0.3430,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3428,1108,"The code is structured in a way that relies too much on using or setting global variables throughout various points in the code, instead of preserving the associated information in a narrower, more local context.",0.3226,152,0.1075,78,"The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."
cwe-78,my-1,"The `main()` function is the entry point of the program. It is responsible for initializing the program, reading the command line arguments, and calling the appropriate functions to perform the desired tasks. In this case, the `main()` function reads the directory name from the command line and uses the `ls` command line utility to list the contents of that directory.",1109,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",0.3954,214,"A process is invoked with sensitive command-line arguments, environment variables, or other elements that can be seen by other processes on the operating system.",0.3862,1062,"The code has a parent class that contains references to a child class, its methods, or its members.",0.3859,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3753,1107,"The source code uses symbolic constants, but it does not sufficiently place the definitions of these constants into a more centralized or isolated location.",0.3643,133,0.1230,78,"The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."
cwe-78,codeql-eg-python-CommandInjection,"The `ping` function pings a URL to see if it is alive using the ""ping"" system command. It first checks if the URL contains a semicolon, in which case it returns ""Bad Url provided"". If the URL does not contain a semicolon, it runs the ping command using the system command ""ping"". The command is ""ping -c 5 "" + url, where ""-c 5"" means to send 5 pings to the URL. The result of the ping command is captured and returned as a string.",562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3746,601,"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks.",0.3011,253,"The product incorrectly checks a return value from a function, which prevents it from detecting errors or exceptional conditions.",0.2946,353,"The product uses a transmission protocol that does not include a mechanism for verifying the integrity of the data during transmission, such as a checksum.",0.2922,698,"The web application sends a redirect to another location, but instead of exiting, it executes additional code.",0.2918,248,0.0806,78,"The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."
cwe-79,codeql-eq-ReflectedXss,"The `hello` function takes a username as a parameter and returns a string that says ""Hello, [username]"". The username is first escaped to prevent it from being interpreted as HTML code.",1117,"The code contains a function or method whose signature and/or associated inline documentation does not sufficiently describe the callable's inputs, outputs, side effects, assumptions, or return codes.",0.4002,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3342,79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,0.3207,1108,"The code is structured in a way that relies too much on using or setting global variables throughout various points in the code, instead of preserving the associated information in a narrower, more local context.",0.3050,624,"The product uses a regular expression that either (1) contains an executable component with user-controlled inputs, or (2) allows a user to enable execution by inserting pattern modifiers.",0.2945,3,0.3207,79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
cwe-79,codeql-eg-ExternalAPISinkExample,"The function `http_hello_page` takes a URL, a method, a request file, and a response file as input. It then reads the username from the request file, constructs a response saying ""hello, [username]"" with the PAGE defines, and writes the response to the response file.",1117,"The code contains a function or method whose signature and/or associated inline documentation does not sufficiently describe the callable's inputs, outputs, side effects, assumptions, or return codes.",0.4307,601,"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks.",0.3538,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3378,1102,"The code uses a data representation that relies on low-level data representation or constructs that may vary across different processors, physical machines, OSes, or other physical components.",0.3122,918,"The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL, but it does not sufficiently ensure that the request is being sent to the expected destination.",0.3097,44,0.2201,79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
cwe-416,mitre-eg-2,"The function main is the entry point of the program. It is responsible for initializing the program, reading input from the user, and performing the desired operations. In this case, the function main reads a line of input from the user and stores it in an array. The function then prints the contents of the array to the screen.",562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4669,466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.4623,1109,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",0.4391,786,The product reads or writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.,0.4226,788,The product reads or writes to a buffer using an index or pointer that references a memory location after the end of the buffer.,0.4107,111,0.1848,416,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code."
cwe-416,my-eg-1,"The function `main()` is the entry point of the program. It is responsible for opening the file, reading the file into a buffer, calculating the checksum of the buffer, and saving the number of bytes read to the buffer and the checksum to the results file.",786,The product reads or writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.,0.4839,788,The product reads or writes to a buffer using an index or pointer that references a memory location after the end of the buffer.,0.4767,466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.4677,125,"The product reads data past the end, or before the beginning, of the intended buffer.",0.4542,1109,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",0.4435,60,0.2549,416,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code."
cwe-119,mitre-eg-3,"The function main() is the entry point of the program. It is where the program starts executing. The function takes two arguments: argc and argv. argc is the number of command-line arguments, and argv is an array of pointers to the command-line arguments.

The function main() typically does the following:

* Declares and initializes variables.
* Reads input from the user.
* Performs calculations.
* Writes output to the screen.
* Returns a value to the operating system.

In the code you provided, the function main() does the following:

* Declares an array of strings called vehicles.
* Prompts the user for the index of a vehicle.
* Reads the index from the user.
* Checks if the index is valid.
* If the index is valid, prints the corresponding vehicle name.
* Otherwise, prints an error message.",562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4789,1109,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",0.4450,628,"The product calls a function, procedure, or routine with arguments that are not correctly specified, leading to always-incorrect behavior and resultant weaknesses.",0.4185,466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.4129,1062,"The code has a parent class that contains references to a child class, its methods, or its members.",0.4079,31,0.3104,119,"The product performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer."
cwe-119,codeql-eg-OverflowBuffer,"The function main is the entry point of the program. It is responsible for initializing the program, processing the user input, and displaying the output. In this case, the function main initializes the variable message to the string ""Hello"" and the variable buffer to an array of 256 characters. It then checks if the buffer is large enough to hold the message, and if so, it copies the message to the buffer. Finally, the function main prints the message to the screen.",466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.4827,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4806,786,The product reads or writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.,0.4671,788,The product reads or writes to a buffer using an index or pointer that references a memory location after the end of the buffer.,0.4589,125,"The product reads data past the end, or before the beginning, of the intended buffer.",0.4582,11,0.4037,119,"The product performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer."
cwe-798,codeql-eg-HardcodedCredentials-c,"The function `get_db_connection()` connects to a MySQL database and returns a connection object. The function takes four parameters: the host name of the database server, the username, the password, and the name of the database. The function uses the MySQLdb library to connect to the database. The connection object can then be used to execute SQL queries and retrieve data from the database.",1072,The product accesses a data resource through a database without using a connection pooling capability.,0.3935,1073,"The product contains a client with a function or method that contains a large number of data accesses/queries that are sent through a data manager, i.e., does not use efficient database capabilities.",0.3787,1083,"The product is intended to manage data access through a particular data manager component such as a relational or non-SQL database, but it contains code that performs data access operations without using that component.",0.3320,798,"The product contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data.",0.3012,1327,"The product assigns the address 0.0.0.0 for a database server, a cloud service/instance, or any computing resource that communicates remotely.",0.2814,4,0.3012,798,"The product contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data."
cwe-798,codeql-eg-HardcodedCredentials-a,"The function `check_mod()` checks if the user is a moderator. It does this by checking if the username and password match the values 'mod' and 'modpass', respectively. If they do, the function returns True, otherwise it returns False.",394,"The product does not properly check when a function or operation returns a value that is legitimate for the function, but is not expected by the product.",0.2945,289,"The product performs authentication based on the name of a resource being accessed, or the name of the actor performing the access, but it does not properly check all possible names for that resource or actor.",0.2862,260,The product stores a password in a configuration file that might be accessible to actors who do not know the password.,0.2838,393,"A function or operation returns an incorrect return value or status code that does not indicate an error, but causes the product to modify its behavior based on the incorrect result.",0.2770,273,The product attempts to drop privileges but does not check or incorrectly checks to see if the drop succeeded.,0.2768,37,0.1895,798,"The product contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data."
cwe-89,my-eg-1,"The `buy_stock()` function takes in the stock name, stock quantity, and username from the user and inserts a buy order into the database. The function first connects to the database using the MySQLdb library. Then, it creates a cursor and executes an SQL statement to insert the buy order into the database. Finally, the function commits the changes to the database and closes the cursor and connection.",1083,"The product is intended to manage data access through a particular data manager component such as a relational or non-SQL database, but it contains code that performs data access operations without using that component.",0.4151,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3668,1067,The product contains a data query against an SQL table or view that is configured in a way that does not utilize an index and may cause sequential searches to be performed.,0.3619,1073,"The product contains a client with a function or method that contains a large number of data accesses/queries that are sent through a data manager, i.e., does not use efficient database capabilities.",0.3536,1072,The product accesses a data resource through a database without using a connection pooling capability.,0.3454,15,0.3150,89,"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."
cwe-20,my-eg-1,"The function `calculate_sale_value()` calculates the value of a sale of a number of shares where the price comes from `get_market_price()`. It takes two inputs: the symbol of the stock and the number of shares. It returns the value of the sale, which is always positive or 0. If an error occurs, it returns 0.

The function first calls `get_market_price()` to get the market price of the stock. If `get_market_price()` returns -1, then an error has occurred and the function returns 0. Otherwise, the function multiplies the market price by the number of shares to get the value of the sale. The function then returns the value of the sale.",393,"A function or operation returns an incorrect return value or status code that does not indicate an error, but causes the product to modify its behavior based on the incorrect result.",0.5053,193,"A product calculates or uses an incorrect maximum or minimum value that is 1 more, or 1 less, than the correct value.",0.4705,394,"The product does not properly check when a function or operation returns a value that is legitimate for the function, but is not expected by the product.",0.4547,628,"The product calls a function, procedure, or routine with arguments that are not correctly specified, leading to always-incorrect behavior and resultant weaknesses.",0.4259,563,"The variable's value is assigned but never used, making it a dead store.",0.4204,68,0.2178,20,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly."
cwe-476,codeql-eg-MissingNullTest-b,"The function main is the entry point of the program. It is responsible for initializing the program, calling the functions that perform the desired tasks, and cleaning up after the program has finished running.

In the code you provided, the function main allocates a new person structure, sets the status to 0, and then frees the structure.",562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4391,1082,The code contains a class instance that calls the method or function to delete or destroy itself.,0.4387,1109,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",0.4337,466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.4319,1058,The code contains a function or method that operates in a multi-threaded environment but owns an unsafe non-final static storable or member data element.,0.4307,50,0.2509,476,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit."
cwe-476,codeql-eg-MissingNullTest-a,"The function main is the entry point of the program. It is responsible for initializing the program, processing user input, and displaying output. In this case, the function allocates a new person and sets its status to 0. It then frees the person when it is no longer needed.",562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4715,466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.4669,1109,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",0.4571,1082,The code contains a class instance that calls the method or function to delete or destroy itself.,0.4306,1084,A function or method contains too many operations that utilize a data manager or file resource.,0.4100,86,0.2482,476,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit."
cwe-434,my-eg-2,"The upload_image() function in a Flask application handles image uploads. It checks if the uploaded file is a JPG image and if its size is less than 1024KB. If valid, the function base64 encodes the image and saves it along with its name to a MySQL database table named images. The function returns a success message if the upload is successful, or appropriate error messages for invalid images or large file sizes.",1084,A function or method contains too many operations that utilize a data manager or file resource.,0.2466,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.,0.2442,248,"An exception is thrown from a function, but it is not caught.",0.2253,338,"The product uses a Pseudo-Random Number Generator (PRNG) in a security context, but the PRNG's algorithm is not cryptographically strong.",0.2248,1285,"The product receives input that is expected to specify an index, position, or offset into an indexable resource such as a buffer or file, but it does not validate or incorrectly validates that the specified index/position/offset has the required properties.",0.2234,2,0.2442,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.
cwe-125,my-2,"The getidfromarray function takes an integer index as input and returns the value at that index from the global integer array ids. The function first checks if the index is within the valid bounds of the array (0 to IDS_ARRAY_SIZE - 1). If the index is out of bounds (less than 0 or greater than or equal to IDS_ARRAY_SIZE), the function returns -1 to indicate an error. Otherwise, it returns the value stored in the ids array at the specified index.",562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3950,253,"The product incorrectly checks a return value from a function, which prevents it from detecting errors or exceptional conditions.",0.3669,393,"A function or operation returns an incorrect return value or status code that does not indicate an error, but causes the product to modify its behavior based on the incorrect result.",0.3494,1025,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.",0.3474,1335,An integer value is specified to be shifted by a negative amount or an amount greater than or equal to the number of bits contained in the value causing an unexpected or indeterminate result.,0.3421,36,0.2278,125,"The product reads data past the end, or before the beginning, of the intended buffer."
cwe-125,mitre-eg-1,"The getValueFromArray function takes an array of integers, the size of the array, and an index as input. It returns the value at the given index if the index is within bounds, and -1 if the index is out of bounds.",1335,An integer value is specified to be shifted by a negative amount or an amount greater than or equal to the number of bits contained in the value causing an unexpected or indeterminate result.,0.4639,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3810,466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.3637,191,"The product subtracts one value from another, such that the result is less than the minimum allowable integer value, which produces a value that is not equal to the correct result.",0.3509,393,"A function or operation returns an incorrect return value or status code that does not indicate an error, but causes the product to modify its behavior based on the incorrect result.",0.3479,26,0.2256,125,"The product reads data past the end, or before the beginning, of the intended buffer."
cwe-190,codeql-eg-ArithmeticUncontrolled,"The main function in this program generates a random integer larger than 1000. It does this by first initializing the random number generator with the seed 0. It then generates a random integer between 1001 and INT_MAX (the maximum value of an integer). Finally, it prints the random integer to standard output.",343,"The product's random number generator produces a series of values which, when observed, can be used to infer a relatively small range of possibilities for the next value that could be generated.",0.6059,1241,The device uses an algorithm that is predictable and generates a pseudo-random number.,0.5116,335,The product uses a Pseudo-Random Number Generator (PRNG) but does not correctly manage seeds.,0.4503,334,"The number of possible random values is smaller than needed by the product, making it more susceptible to brute force attacks.",0.4402,338,"The product uses a Pseudo-Random Number Generator (PRNG) in a security context, but the PRNG's algorithm is not cryptographically strong.",0.4198,9,0.3678,190,"The product performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control."
