Cwe,Folder,Palm_Description,Id_of_description_1,Description_from_cwe_website_1,Score_1,Id_of_description_2,Description_from_cwe_website_2,Score_2,Id_of_description_3,Description_from_cwe_website_3,Score_3,Ground_Ranking,Ground_Score,Ground_ID,Ground_Desc
cwe-306,my-eg-1,"The program defines a route for the user settings page. The route is protected by the ensure_logged_in decorator, which ensures that the user is logged in before they can access the page. The page itself simply returns an HTML page with the text ""Secret settings"".",15,One or more system settings or configuration elements can be externally controlled by a user.,0.4500,565,"The product relies on the existence or values of cookies when performing security-critical operations, but it does not properly ensure that the setting is valid for the associated user.",0.4490,260,The product stores a password in a configuration file that might be accessible to actors who do not know the password.,0.4294,111,0.2562,306,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.
cwe-306,my-eg-3,"The change_email function is a POST route that allows a user to change their email address. The function first checks that the user is logged in and has provided the current password. If the user is not logged in or has not provided the correct password, the function returns an error message.

If the user is logged in and has provided the correct password, the function checks that the new email address is not the same as the old email address. If the new email address is the same as the old email address, the function returns an error message.

The function then checks that the new and confirm password are the same. If the new and confirm password are not the same, the function returns an error message.

If the new and confirm password are the same, the function updates the user's email address in the database and returns a message confirming that the email address has been changed.",,,,,,,,,,171,0.0806,306,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.
cwe-306,my-eg-2,"The admin_page function checks if the user is logged in and if the user is an admin. If the user is not an admin, the function returns a 403 error.",756,"The product does not return custom error pages to the user, possibly exposing sensitive information.",0.3747,,,,,,,17,0.2321,306,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.
cwe-89,my-eg-1,The buy_stock function inserts the buy order in the database and calls the buy function to pass stock name.,1083,"The product is intended to manage data access through a particular data manager component such as a relational or non-SQL database, but it contains code that performs data access operations without using that component.",0.3828,134,"The product uses a function that accepts a format string as an argument, but the format string originates from an external source.",0.3717,,,,19,0.2797,89,"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."
cwe-89,codeql-eg-SqlInjection-a,"The unsubscribe function checks if the email (GET variable) is in the database and if so, unsubscribes the user.",,,,,,,,,,143,0.1182,89,"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."
cwe-89,my-eg-2,"The insert_user_message_in_db function inserts a new message into the database. It takes two parameters, username and message, and uses them to construct an SQL INSERT statement. The statement is then executed, and the changes are committed to the database.",,,,,,,,,,7,0.2736,89,"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."
cwe-20,codeql-eg-IncompleteUrlSubstringSanitization,"The redirect_request function redirects users to the URL in the request, but only if the url is for the ""example.com"" domain.",698,"The web application sends a redirect to another location, but instead of exiting, it executes additional code.",0.4643,601,"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks.",0.4244,,,,212,0.0232,20,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly."
cwe-20,my-eg-1,The calculate_sale_value function calculates the value of a sale of a number of shares where the price comes from get_market_price().,,,,,,,,,,196,0.0927,20,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly."
cwe-20,codeql-eg-IncompleteHostnameRegExp,"The safe function checks if the URL passed in the request is for the example.com domain. If it is, the function redirects the user to that URL. If it is not, the function redirects the user to the homepage.",601,"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks.",0.4744,356,The product's user interface does not warn the user before undertaking an unsafe action on behalf of that user. This makes it easier for attackers to trick users into inflicting damage to their system.,0.4488,676,"The product invokes a potentially dangerous function that could introduce a vulnerability if it is used incorrectly, but the function can also be used safely.",0.4447,38,0.3002,20,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly."
cwe-476,codeql-eg-MissingNullTest-b,The main function allocates a new person and sets its status to 0.,,,,,,,,,,168,0.1223,476,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit."
cwe-476,codeql-eg-MissingNullTest-c,The main function in this code allocates a large buffer and copies 100 characters from stdin into it.,805,"The product uses a sequential operation to read or write a buffer, but it uses an incorrect length value that causes it to access memory that is outside of the bounds of the buffer.",0.5244,787,"The product writes data past the end, or before the beginning, of the intended buffer.",0.5219,125,"The product reads data past the end, or before the beginning, of the intended buffer.",0.4943,158,0.1389,476,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit."
cwe-476,codeql-eg-MissingNullTest-a,The main function allocates a new person and sets its status to 0.,,,,,,,,,,168,0.1223,476,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit."
cwe-200,mitre-eg-1,"The login function logs in the user if the username and password are correct. It does this by first connecting to the database and then executing a SQL query to select all rows from the users table where the username and password match the values provided in the request. If the query returns any results, then the function logs the user in by setting the session variables id and Role to the values of the first row returned by the query.",523,Login pages do not use adequate measures to protect the user name and password while they are in transit from the client to the server.,0.4077,836,"The product records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",0.3827,260,The product stores a password in a configuration file that might be accessible to actors who do not know the password.,0.3748,80,0.0939,200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
cwe-522,my-eg-1-c,"The register function gets the username, password, first name, last name, and email from the user and checks if the username is already in the database. If the username is not in the database, the function inserts the username and hashed password into the database and returns a success message.",836,"The product records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",0.4159,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4105,,,,16,0.2628,522,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval."
cwe-522,my-eg-1-b,"
#register url
@app.route('/register', methods=['POST'])
def register():
   username = request.form['username']
   password = request.form['password']
   #hash the password
   salt = os.urandom(16)
   password = password.encode('utf-8')
   password = salt + password
   password = hashlib.sha256(password)
   password = password.hexdigest()

   db = MySQLdb.connect(host='localhost', user='root', passwd='', db='users')
   cursor = db.cursor()
   cursor.execute(""SELECT * FROM user_details WHERE username = '""+username+""'"")
   data = cursor.fetchone()
   if(len(data) > 0):
      print('Username already exists, try a different one')
      return redirect('/register')
   else:
      cursor.execute(""INSERT INTO user_details (username, password, salt, email) VALUES ('""+username+""', '""+password+""', '""+salt+""', '')"")
      db.commit()
      return redirect('/login')

The register function does the following:

1. Gets the username and password from the request.
2. Hashes the password.
3. Checks if the username already exists in the database.
4. If the username does not exist, inserts the username, password, and salt into the database.
5. Redirects the user to the login page.",,,,,,,,,,27,0.1088,522,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval."
cwe-522,my-eg-1-a,The register function inserts a new user into the database. It takes the username and password from the request and hashes the password before inserting it into the database.,836,"The product records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",0.4125,620,"When setting a new password for a user, the product does not require knowledge of the original password, or using another form of authentication.",0.3866,,,,12,0.3057,522,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval."
cwe-502,codeql-eg-UnsafeDeserialization-c,"The calculate_price function takes a product code and quantity as input, and returns the total price. The function first gets the price for the product code from the get_price_for_product_code function. Then, it multiplies the price by the quantity to get the total price.",1041,"The product has multiple functions, methods, procedures, macros, etc. that contain the same code.",0.3796,,,,,,,392,-0.0126,502,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.
cwe-502,codeql-eg-UnsafeDeserialization-b,The temperature_for_location function gets the latitude and longitude and date from the incoming YAML payload and returns the temperature from the database.,,,,,,,,,,172,0.0564,502,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.
