Index,CWE,Vulnerable,relation-with-Top-3,#relevant-top-3,relations,TP,TN,FP,FN,Extra FN,similar-id-1,similar-id-2,similar-id-3
140,119,0,No,0,,,,Yes,,,615,1041,243
142,125,0,No,0,,,,Yes,,,1240,,
143,476,0,No,0,,,,Yes,,,597,1084,1089
144,436,0,No,0,,,,Yes,,,1312,433,
145,476,0,No,0,,,,Yes,,,113,916,1251
146,200,0,No,0,,,,Yes,,,785,436,1106
148,119,0,No,0,,,Yes,,,,,,
149,119,0,No,0,,,Yes,,,,,,
150,119,0,No,0,,,,Yes,,,1232,1278,250
151,200,0,No,0,,,,Yes,,,1274,,
152,416,0,No,0,,,,Yes,,,1043,374,98
153,400,0,No,0,,,Yes,,,,,,
154,20,0,No,0,,,,Yes,,,1101,595,924
155,416,0,No,0,,,,Yes,,,527,1331,925
156,79,0,No,0,,,,Yes,,,329,662,
157,119,0,No,0,,,Yes,,,,,,
158,125,0,No,0,,,Yes,,,,,,
159,400,0,No,0,,,,Yes,,,84,698,549
160,200,0,No,0,,,,Yes,,,50,835,548
161,416,0,No,0,,,,Yes,,,528,607,541
162,362,0,No,0,,,,Yes,,,128,148,553
163,59,0,No,0,,,Yes,,,,,,
165,20,0,No,0,,,,Yes,,,498,653,651
167,269,0,Yes,1,270 ChildOf 269,,,Yes,,,270,560,272
168,20,0,No,0,,,,Yes,,,25,1117,913
169,125,0,No,0,,,Yes,,,,,,
170,285,0,No,0,,,,Yes,,,835,185,548
171,119,0,No,0,,,,Yes,,,528,607,233
172,125,0,No,0,,,Yes,,,,,,
173,399,0,No,0,,,Yes,,,,,,
176,476,0,No,0,,,,Yes,,,459,85,419
177,264,0,No,0,,,,Yes,,,183,391,95
178,125,0,No,0,,,,Yes,,,1272,1331,562
179,254,0,No,0,,,Yes,,,,,,
180,399,0,No,0,,,,Yes,,,98,86,66
181,285,0,No,0,,,,Yes,,,1078,40,341
182,20,0,No,0,,,Yes,,,,,,
183,20,0,No,0,,,,Yes,,,1278,190,35
185,772,0,Yes,1,772 ChildOf 404,,,Yes,,,404,337,
186,269,0,No,0,,,,Yes,,,545,59,148
188,119,0,No,0,,,Yes,,,,,,
189,119,0,No,0,,,,Yes,,,785,599,1076
190,189,0,No,0,,,,Yes,,,1389,1326,1223
191,200,0,No,0,,,,Yes,,,95,216,1296
192,416,0,No,0,,,Yes,,,,,,
193,476,0,No,0,,,,Yes,,,1235,1342,612
195,125,0,No,0,,,Yes,,,,,,
196,190,0,No,0,,,Yes,,,,,,
197,119,0,No,0,,,,Yes,,,316,527,667
198,399,0,No,0,,,Yes,,,,,,
199,399,0,No,0,,,,Yes,,,50,185,832
200,200,0,No,0,,,,Yes,,,329,,
203,369,0,No,0,,,Yes,,,,,,
205,20,0,No,0,,,,Yes,,,655,349,680
207,674,0,No,0,,,Yes,,,,,,
208,264,0,No,0,,,,Yes,,,545,59,39
209,20,0,No,0,,,Yes,,,,,,
210,772,0,No,0,,,Yes,,,,,,
211,787,0,No,0,,,Yes,,,,,,
212,20,0,No,0,,,,Yes,,,613,281,614
213,264,0,No,0,,,Yes,,,,,,
214,119,0,No,0,,,Yes,,,,,,
215,362,0,No,0,,,Yes,,,,,,
217,125,0,No,0,,,Yes,,,,,,
218,134,0,No,0,,,,Yes,,,1250,,
219,20,0,No,0,,,Yes,,,,,,
220,416,0,No,0,,,,Yes,,,615,590,1041
221,254,0,No,0,,,,Yes,,,190,35,1385
222,119,0,No,0,,,,Yes,,,1320,,
224,399,0,No,0,,,,Yes,,,1052,603,622
225,399,0,No,0,,,Yes,,,,,,
226,119,0,No,0,,,,Yes,,,1331,1234,1301
227,787,0,No,0,,,,Yes,,,86,615,245
228,125,0,No,0,,,Yes,,,,,,
229,416,0,No,0,,,,Yes,,,1274,1290,1311
230,476,0,No,0,,,Yes,,,,,,
231,119,0,No,0,,,,Yes,,,551,1394,1061
232,17,0,No,0,,,,Yes,,,435,590,1096
233,20,0,No,0,,,Yes,,,,,,
234,20,0,No,0,,,Yes,,,,,,
236,416,0,No,0,,,,Yes,,,467,1058,572
237,20,0,No,0,,,,Yes,,,491,97,109
238,119,0,Yes,1,1339 CanPrecede 119,,,Yes,,,1268,1339,1224
239,310,0,No,0,,,,Yes,,,657,56,48
240,20,0,No,0,,,,Yes,,,86,1044,1262
241,400,0,No,0,,,Yes,,,,,,
242,264,0,No,0,,,,Yes,,,1090,179,1052
243,399,0,No,0,,,,Yes,,,1240,,
245,190,0,No,0,,,Yes,,,,,,
246,119,0,No,0,,,Yes,,,,,,
247,119,0,No,0,,,Yes,,,,,,
248,119,0,No,0,,,,Yes,,,530,598,467
251,264,0,No,0,,,,Yes,,,220,588,691
252,119,0,No,0,,,Yes,,,,,,
253,264,0,No,0,,,,Yes,,,43,681,304
254,772,0,No,0,,,Yes,,,,,,
255,835,0,No,0,,,,Yes,,,436,318,686
256,254,0,No,0,,,Yes,,,,,,
258,200,0,No,0,,,Yes,,,,,,
259,119,0,No,0,,,,Yes,,,1278,1232,250
260,399,0,No,0,,,,Yes,,,111,415,1070
261,416,0,No,0,,,,Yes,,,108,669,638
263,119,0,No,0,,,,Yes,,,93,55,38
264,189,0,No,0,,,,Yes,,,834,69,1394
265,264,0,No,0,,,,Yes,,,318,619,1124
267,119,0,No,0,,,,Yes,,,1301,1289,1331
268,77,0,No,0,,,,Yes,,,1055,1121,1123
269,20,0,No,0,,,Yes,,,,,,
270,254,0,No,0,,,,Yes,,,595,,
271,732,0,No,0,,,,Yes,,,1058,1086,1056
272,264,0,No,0,,,Yes,,,,,,
273,119,0,No,0,,,,Yes,,,680,655,349
274,119,0,No,0,,,Yes,,,,,,
276,264,0,No,0,,,,Yes,,,373,545,59
277,416,0,No,0,,,Yes,,,,,,
278,89,0,No,0,,,,Yes,,,1125,1315,777
279,254,0,No,0,,,,Yes,,,48,56,54
280,20,0,No,0,,,,Yes,,,327,1007,
281,119,0,No,0,,,,Yes,,,436,1076,1100
282,254,0,No,0,,,,Yes,,,128,680,553
283,399,0,No,0,,,,Yes,,,34,244,1295
284,20,0,No,0,,,Yes,,,,,,
285,476,0,No,0,,,Yes,,,,,,
286,476,0,No,0,,,,Yes,,,1389,1326,
287,20,0,No,0,,,,Yes,,,391,484,409
288,362,0,No,0,,,Yes,,,,,,
290,415,0,No,0,,,,Yes,,,367,294,524
291,264,0,No,0,,,,Yes,,,317,785,313
292,476,0,No,0,,,Yes,,,,,,
293,399,0,No,0,,,,Yes,,,1089,1085,1094
294,284,0,No,0,,,Yes,,,,,,
295,200,0,No,0,,,,Yes,,,94,79,831
296,119,0,No,0,,,,Yes,,,588,537,220
297,189,0,No,0,,,,Yes,,,1232,250,502
300,362,0,Yes,1,662 CanPrecede 362,,,Yes,,,662,35,1246
301,22,0,No,0,,,,Yes,,,1240,,
302,754,0,No,0,,,Yes,,,,,,
303,200,0,No,0,,,Yes,,,,,,
305,200,0,No,0,,,,Yes,,,34,244,31
309,119,0,No,0,,,,Yes,,,35,89,1246
311,617,0,No,0,,,Yes,,,,,,
312,119,0,No,0,,,Yes,,,,,,
313,119,0,No,0,,,Yes,,,,,,
314,399,0,No,0,,,,Yes,,,664,1392,1074
315,399,0,No,0,,,,Yes,,,1260,1204,1232
318,79,0,No,0,,,,Yes,,,1192,,
319,732,0,No,0,,,,Yes,,,528,607,541
320,119,0,No,0,,,Yes,,,,,,
321,20,0,No,0,,,,Yes,,,780,436,1076
322,254,0,No,0,,,,Yes,,,433,,
324,191,0,No,0,,,Yes,,,,,,
325,476,0,No,0,,,Yes,,,,,,
327,190,0,No,0,,,,Yes,,,1125,213,1315
328,362,0,No,0,,,,Yes,,,1115,1193,1282
329,125,0,No,0,,,Yes,,,,,,
331,416,0,No,0,,,,Yes,,,250,648,1232
332,189,0,No,0,,,,Yes,,,436,780,36
333,772,0,No,0,,,Yes,,,,,,
334,416,0,No,0,,,,Yes,,,662,,
335,94,0,No,0,,,Yes,,,,,,
336,362,0,No,0,,,Yes,,,,,,
337,20,0,No,0,,,,Yes,,,1240,,
338,284,0,No,0,,,Yes,,,,,,
339,264,0,No,0,,,,Yes,,,35,1267,1039
340,119,0,No,0,,,Yes,,,,,,
341,200,0,No,0,,,,Yes,,,1094,1085,605
342,399,0,No,0,,,Yes,,,,,,
343,254,0,No,0,,,,Yes,,,622,1052,603
344,264,0,No,0,,,Yes,,,,,,
346,399,0,No,0,,,,Yes,,,179,603,1090
347,190,0,No,0,,,Yes,,,,,,
348,119,0,No,0,,,,Yes,,,1240,,
349,20,0,No,0,,,Yes,,,,,,
350,190,0,No,0,,,Yes,,,,,,
352,134,0,No,0,,,,Yes,,,1240,,
353,22,0,No,0,,,,Yes,,,26,339,28
354,119,0,No,0,,,,Yes,,,252,562,575
355,254,0,No,0,,,Yes,,,,,,
357,399,0,No,0,,,,Yes,,,1385,642,1278
358,399,0,No,0,,,,Yes,,,34,1248,31
359,119,0,No,0,,,,Yes,,,705,696,345
360,119,0,No,0,,,,Yes,,,1294,,
361,189,0,No,0,,,,Yes,,,595,924,581
362,119,0,No,0,,,,Yes,,,598,530,64
363,254,0,No,0,,,,Yes,,,25,913,1086
364,264,0,No,0,,,,Yes,,,664,1074,1085
365,20,0,No,0,,,,Yes,,,1104,61,1315
366,416,0,No,0,,,,Yes,,,97,83,121
367,754,0,No,0,,,Yes,,,,,,
368,787,0,No,0,,,,Yes,,,404,665,1296
369,416,0,No,0,,,Yes,,,,,,
370,416,0,No,0,,,,Yes,,,520,1232,1320
371,119,0,No,0,,,,Yes,,,1296,57,404
372,200,0,No,0,,,,Yes,,,920,34,1248
374,119,0,No,0,,,Yes,,,,,,
376,20,0,No,0,,,Yes,,,,,,
378,399,0,No,0,,,Yes,,,,,,
379,119,0,No,0,,,Yes,,,,,,
380,264,0,No,0,,,,Yes,,,615,1096,86
381,404,0,No,0,,,,Yes,,,467,1394,690
382,732,0,No,0,,,,Yes,,,1096,590,615
384,704,0,No,0,,,Yes,,,,,,
385,476,0,No,0,,,Yes,,,,,,
386,190,0,No,0,,,Yes,,,,,,
387,264,0,No,0,,,,Yes,,,1235,262,824
388,20,0,No,0,,,,Yes,,,1120,1042,1089
389,20,0,No,0,,,Yes,,,,,,
390,189,0,No,0,,,Yes,,,,,,
391,119,0,No,0,,,Yes,,,,,,
392,20,0,No,0,,,,Yes,,,33,32,1282
395,476,0,No,0,,,,Yes,,,35,1385,1328
396,264,0,No,0,,,,Yes,,,772,1090,1072
397,59,0,No,0,,,,Yes,,,1267,89,1246
399,125,0,No,0,,,,Yes,,,494,221,52
400,264,0,No,0,,,,Yes,,,1273,1338,226
401,190,0,No,0,,,,Yes,,,434,345,705
402,416,0,No,0,,,,Yes,,,1311,1274,1252
403,200,0,No,0,,,Yes,,,,,,
404,200,0,No,0,,,,Yes,,,1278,1232,250
405,416,0,No,0,,,,Yes,,,83,121,157
406,399,0,No,0,,,Yes,,,,,,
407,310,0,No,0,,,Yes,,,,,,
408,200,0,No,0,,,,Yes,,,245,86,615
409,200,0,No,0,,,,Yes,,,567,106,667
410,732,0,No,0,,,,Yes,,,316,1116,567
411,399,0,No,0,,,,Yes,,,318,1124,1076
412,264,0,No,0,,,,Yes,,,111,558,1064
413,22,0,No,0,,,,Yes,,,1299,1323,
414,125,0,No,0,,,,Yes,,,35,1267,1039
415,254,0,No,0,,,,Yes,,,1089,1085,1094
417,20,0,No,0,,,,Yes,,,35,190,1246
418,77,0,No,0,,,,Yes,,,1022,1224,479
419,269,0,No,0,,,,Yes,,,588,691,220
422,119,0,No,0,,,Yes,,,,,,
424,399,0,No,0,,,Yes,,,,,,
426,693,0,No,0,,,Yes,,,,,,
427,399,0,No,0,,,Yes,,,,,,
429,190,0,No,0,,,,Yes,,,1292,1326,1223
430,399,0,No,0,,,Yes,,,,,,
431,125,0,No,0,,,Yes,,,,,,
432,601,0,No,0,,,,Yes,,,1296,57,183
433,20,0,No,0,,,Yes,,,,,,
435,862,0,No,0,,,,Yes,,,28,621,26
438,399,0,No,0,,,,Yes,,,304,43,93
439,400,0,Yes,1,920 ChildOf 400,,,Yes,,,502,1248,920
441,416,0,No,0,,,Yes,,,,,,
442,125,0,No,0,,,Yes,,,,,,
443,20,0,No,0,,,,Yes,,,287,166,833
444,404,0,No,0,,,,Yes,,,1385,1278,642
445,189,0,No,0,,,,Yes,,,1240,,
446,79,0,No,0,,,Yes,,,,,,
447,310,0,No,0,,,,Yes,,,64,583,127
448,119,0,No,0,,,Yes,,,,,,
449,399,0,No,0,,,Yes,,,,,,
451,310,0,No,0,,,,Yes,,,622,603,454
452,17,0,No,0,,,,Yes,,,567,667,1315
453,476,0,No,0,,,Yes,,,,,,
454,119,0,Yes,1,1339 CanPrecede 119,,,Yes,,,1339,1268,
455,190,0,No,0,,,Yes,,,,,,
456,20,0,No,0,,,,Yes,,,1240,,
457,264,0,No,0,,,Yes,,,,,,
458,264,0,No,0,,,,Yes,,,581,318,112
459,264,0,No,0,,,,Yes,,,468,608,12
460,399,0,No,0,,,,Yes,,,1094,1097,1085
461,20,0,No,0,,,Yes,,,,,,
462,190,0,No,0,,,Yes,,,,,,
463,416,0,No,0,,,Yes,,,,,,
465,20,0,No,0,,,,Yes,,,467,1394,572
466,189,0,No,0,,,,Yes,,,1320,520,502
467,399,0,No,0,,,,Yes,,,440,239,342
469,362,0,No,0,,,Yes,,,,,,
473,20,0,No,0,,,,Yes,,,596,832,1390
474,416,0,No,0,,,,Yes,,,34,920,1321
475,284,0,No,0,,,,Yes,,,49,42,46
476,20,0,No,0,,,Yes,,,,,,
477,20,0,No,0,,,,Yes,,,1264,829,843
478,416,0,No,0,,,,Yes,,,1058,1069,1095
479,119,0,No,0,,,,Yes,,,1240,,
480,200,0,No,0,,,,Yes,,,1101,595,581
481,119,0,No,0,,,,Yes,,,1331,527,863
482,190,0,No,0,,,Yes,,,,,,
484,264,0,No,0,,,,Yes,,,35,1246,190
485,787,0,No,0,,,,Yes,,,1240,,
486,787,0,No,0,,,,Yes,,,1059,328,1250
487,20,0,No,0,,,,Yes,,,1085,765,1094
488,399,0,No,0,,,,Yes,,,1059,,
489,200,0,No,0,,,,Yes,,,1299,1351,
490,200,0,No,0,,,,Yes,,,1240,,
491,399,0,No,0,,,,Yes,,,583,683,336
492,399,0,No,0,,,,Yes,,,622,603,454
493,19,0,No,0,,,,Yes,,,533,534,542
494,787,0,No,0,,,,Yes,,,1240,,
497,416,0,No,0,,,,Yes,,,1320,,
498,200,0,No,0,,,Yes,,,,,,
499,20,0,No,0,,,Yes,,,,,,
500,416,0,No,0,,,,Yes,,,95,1296,8
501,20,0,No,0,,,,Yes,,,391,410,805
502,200,0,No,0,,,,Yes,,,570,755,571
504,119,0,No,0,,,,Yes,,,581,595,436
505,119,0,No,0,,,,Yes,,,1069,546,474
506,476,0,No,0,,,Yes,,,,,,
507,119,0,No,0,,,,Yes,,,1278,1385,250
508,310,0,No,0,,,,Yes,,,621,1281,28
510,20,0,No,0,,,Yes,,,,,,
511,362,0,No,0,,,,Yes,,,35,1267,1246
512,264,0,No,0,,,,Yes,,,502,1320,520
514,119,0,No,0,,,,Yes,,,1119,1092,23
515,254,0,No,0,,,,Yes,,,1240,,
516,119,0,No,0,,,Yes,,,,,,
517,119,0,No,0,,,,Yes,,,1240,,
518,362,0,No,0,,,,Yes,,,605,1312,396
519,200,0,No,0,,,,Yes,,,1049,1315,1125
520,362,0,No,0,,,,Yes,,,56,54,48
521,119,0,No,0,,,Yes,,,,,,
522,119,0,No,0,,,,Yes,,,1097,1094,77
523,20,0,No,0,,,,Yes,,,1251,1250,798
524,189,0,No,0,,,Yes,,,,,,
525,119,0,No,0,,,,Yes,,,1282,186,1115
527,416,0,No,0,,,,Yes,,,1190,1336,611
528,772,0,No,0,,,Yes,,,,,,
529,20,0,No,0,,,,Yes,,,583,64,1058
530,200,0,No,0,,,,Yes,,,1240,,
531,190,0,No,0,,,Yes,,,,,,
532,200,0,No,0,,,Yes,,,,,,
533,119,0,Yes,1,128 CanPrecede 119,,,Yes,,,128,553,148
534,93,0,No,0,,,,Yes,,,148,286,564
536,416,0,No,0,,,,Yes,,,1268,116,1339
537,476,0,No,0,,,,Yes,,,333,395,51
538,125,0,No,0,,,Yes,,,,,,
539,119,0,No,0,,,,Yes,,,1224,1268,1220
540,20,0,No,0,,,,Yes,,,50,185,494
541,19,0,No,0,,,,Yes,,,250,1260,1232
542,787,0,No,0,,,,Yes,,,1323,1299,1351
545,190,0,No,0,,,Yes,,,,,,
546,399,0,No,0,,,,Yes,,,657,48,56
547,119,0,No,0,,,,Yes,,,1331,1286,1234
549,20,0,No,0,,,Yes,,,,,,
550,284,0,No,0,,,,Yes,,,590,435,615
551,399,0,No,0,,,,Yes,,,1292,1336,1330
552,704,0,No,0,,,Yes,,,,,,
554,362,0,No,0,,,,Yes,,,84,698,549
555,119,0,No,0,,,Yes,,,,,,
556,476,0,Yes,1,476 and 1126 are siblings,,,Yes,,,1091,103,1126
557,416,0,No,0,,,,Yes,,,686,436,581
558,399,0,No,0,,,,Yes,,,316,925,527
559,125,0,No,0,,,,Yes,,,391,487,476
560,119,0,No,0,,,Yes,,,,,,
562,20,0,No,0,,,Yes,,,,,,
563,415,0,No,0,,,,Yes,,,1091,1126,1106
564,20,0,No,0,,,Yes,,,,,,
565,835,0,No,0,,,,Yes,,,1282,29,33
566,125,0,No,0,,,Yes,,,,,,
567,269,0,No,0,,,Yes,,,,,,
568,416,0,No,0,,,,Yes,,,546,81,64
569,264,0,No,0,,,,Yes,,,317,787,785
571,189,0,No,0,,,,Yes,,,657,43,156
573,476,0,No,0,,,Yes,,,,,,
574,415,0,No,0,,,Yes,,,,,,
575,200,0,No,0,,,Yes,,,,,,
576,310,0,No,0,,,,Yes,,,545,40,59
578,416,0,No,0,,,Yes,,,,,,
579,20,0,No,0,,,Yes,,,,,,
580,399,0,No,0,,,,Yes,,,1250,,
581,416,0,No,0,,,Yes,,,,,,
582,19,0,No,0,,,,Yes,,,391,216,1296
583,119,0,No,0,,,Yes,,,,,,
584,476,0,No,0,,,Yes,,,,,,
586,125,0,No,0,,,Yes,,,,,,
587,189,0,No,0,,,,Yes,,,1385,1278,1236
588,476,0,No,0,,,Yes,,,,,,
589,269,0,No,0,,,,Yes,,,57,330,315
590,254,0,No,0,,,,Yes,,,30,29,1282
591,200,0,No,0,,,Yes,,,,,,
592,200,0,No,0,,,,Yes,,,35,,
593,189,0,No,0,,,,Yes,,,1317,1274,1290
594,125,0,No,0,,,Yes,,,,,,
596,399,0,No,0,,,Yes,,,,,,
597,787,0,No,0,,,Yes,,,,,,
599,20,0,No,0,,,,Yes,,,84,698,549
600,264,0,No,0,,,,Yes,,,1059,1357,1250
602,399,0,No,0,,,,Yes,,,615,245,86
604,399,0,No,0,,,,Yes,,,1341,327,1330
605,200,0,No,0,,,,Yes,,,657,48,56
606,17,0,No,0,,,,Yes,,,1286,527,379
607,399,0,No,0,,,,Yes,,,108,638,688
608,399,0,No,0,,,,Yes,,,1057,598,530
610,862,0,No,0,,,,Yes,,,1282,1115,33
612,119,0,No,0,,,,Yes,,,1240,,
613,732,0,No,0,,,,Yes,,,1055,1121,144
614,399,0,No,0,,,,Yes,,,1123,404,665
616,119,0,No,0,,,,Yes,,,391,410,181
618,125,0,No,0,,,,Yes,,,785,436,599
620,20,0,No,0,,,Yes,,,,,,
624,704,0,No,0,,,,Yes,,,597,1094,1084
625,787,0,No,0,,,,Yes,,,487,425,391
626,125,0,No,0,,,,Yes,,,91,1063,1069
627,476,0,No,0,,,,Yes,,,1075,546,82
628,787,0,No,0,,,,Yes,,,391,476,487
629,20,0,No,0,,,,Yes,,,1065,1118,201
630,264,0,No,0,,,,Yes,,,53,593,1062
632,20,0,No,0,,,Yes,,,,,,
633,400,0,No,0,,,,Yes,,,1240,,
634,416,0,No,0,,,,Yes,,,546,82,1075
637,125,0,No,0,,,Yes,,,,,,
639,476,0,No,0,,,,Yes,,,35,1246,1267
640,20,0,No,0,,,Yes,,,,,,
641,617,0,No,0,,,,Yes,,,428,683,202
642,399,0,No,0,,,Yes,,,,,,
644,399,0,No,0,,,,Yes,,,1301,1289,1282
645,20,0,No,0,,,,Yes,,,436,1076,36
646,119,0,No,0,,,,Yes,,,1267,35,1039
647,399,0,No,0,,,Yes,,,,,,
648,862,0,No,0,,,Yes,,,,,,
649,416,0,No,0,,,,Yes,,,546,583,64
652,399,0,No,0,,,,Yes,,,1235,647,312
653,189,0,No,0,,,,Yes,,,1282,186,912
654,119,0,No,0,,,Yes,,,,,,
655,79,0,No,0,,,,Yes,,,434,696,705
656,17,0,No,0,,,,Yes,,,179,1090,622
658,125,0,No,0,,,Yes,,,,,,
659,200,0,No,0,,,,Yes,,,1300,,
661,200,0,No,0,,,,Yes,,,108,688,638
665,399,0,No,0,,,Yes,,,,,,
667,399,0,No,0,,,,Yes,,,1224,1311,1022
668,20,0,No,0,,,Yes,,,,,,
669,399,0,No,0,,,Yes,,,,,,
670,20,0,No,0,,,Yes,,,,,,
671,189,0,No,0,,,,Yes,,,439,305,674
672,362,0,No,0,,,,Yes,,,587,5,159
673,119,0,No,0,,,,Yes,,,1338,1273,22
674,416,0,No,0,,,Yes,,,,,,
675,399,0,No,0,,,,Yes,,,179,1090,622
676,264,0,No,0,,,Yes,,,,,,
679,404,0,No,0,,,,Yes,,,250,1232,1278
680,399,0,No,0,,,Yes,,,,,,
681,287,0,No,0,,,,Yes,,,47,122,37
682,310,0,No,0,,,,Yes,,,619,124,92
683,125,0,No,0,,,,Yes,,,26,621,28
685,20,0,No,0,,,Yes,,,,,,
686,476,0,No,0,,,,Yes,,,527,316,925
687,611,0,No,0,,,,Yes,,,51,333,395
688,476,0,No,0,,,,Yes,,,1190,,
689,200,0,No,0,,,,Yes,,,1274,1252,1311
690,399,0,No,0,,,,Yes,,,35,190,1236
691,399,0,No,0,,,,Yes,,,785,317,1106
692,476,0,No,0,,,,Yes,,,37,628,47
693,125,0,No,0,,,,Yes,,,1240,,
694,476,0,No,0,,,,Yes,,,1224,1022,1316
695,119,0,No,0,,,Yes,,,,,,
696,20,0,No,0,,,,Yes,,,391,1062,593
697,399,0,No,0,,,,Yes,,,1392,1074,1046
698,119,0,No,0,,,Yes,,,,,,
700,254,0,No,0,,,,Yes,,,533,534,542
